Feature,Female Mean,Male Mean,T-Stat,P-Value
quantity,0.6470661279195821,1.2000987556784515,-6.910513665638307,4.9079130807180415e-12
Perception,4.058271410269045,5.243976891171242,-6.80920313867433,9.953217443905984e-12
fulfill,0.9471597516507342,1.6703683586806244,-6.4444789872550805,1.1739417344648047e-10
comm,5.394417561840938,4.27097768121667,6.406763294628427,1.5030237438201473e-10
Clout,90.49063486238532,85.55743636363637,5.998854540326661,2.119565162421683e-09
Linguistic,31.040830787424856,33.33088287576536,-5.758535101434837,8.545864055179416e-09
Authentic,80.27177517185605,85.15378462603879,-5.4949754969597,4.1024399790721855e-08
function,10.431569429387995,11.570270590558957,-5.4516728740227025,5.0189333669808956e-08
Period,0.24204050458263526,0.37940351570215286,-5.325573391043037,1.0119136153041358e-07
time,0.5374440721395485,0.9013208571992889,-5.298068698188547,1.1771827143565145e-07
AllPunc,0.4365842120823889,0.6711574165514518,-5.283732472976478,1.2726159045074343e-07
space,1.596443776485661,2.15357396800316,-5.270733004554954,1.365984735785249e-07
reward,0.20095594757071056,0.40216867469879514,-5.1859607554642775,2.1607862368560818e-07
prep,4.07740366610821,4.683806537625913,-5.1175494920077815,3.109514735297206e-07
tech,5.42740070956933,4.380023701362828,4.959848546059733,7.083614957218477e-07
Culture,5.433560165566177,4.385949042069918,4.958439520525859,7.13514129754711e-07
Dic,83.68785995860847,85.28783971953388,-4.9397997421081445,7.85144485712208e-07
det,3.4931516704444667,4.006507999209954,-4.799819488780618,1.5938006950057363e-06
negate,0.1959027298708978,0.30776664033181905,-4.667575903809391,3.0579661792249038e-06
motion,1.3771848822312012,1.841953881098163,-4.359332411356808,1.3078954818175145e-05
allure,12.11530945106928,13.287343966028045,-4.163919543662225,3.1347714683755884e-05
food,4.0926367399231305,3.3530145170847323,4.152300359156041,3.298294484218076e-05
curiosity,1.7650211885286289,1.2851451708473238,4.118126325674506,3.82738396089598e-05
Physical,11.778850891889228,10.628404602014616,3.8692314844196094,0.00010935001877320975
cogproc,4.415527742189809,5.08302044242544,-3.682454888516411,0.0002313003345866583
death,0.04984281068296048,0.1562808611495161,-3.641881540844503,0.0002711373510994177
money,8.734644229821622,9.694169958522615,-3.625794033860422,0.00028842839482671193
socbehav,10.517938306888734,9.577922674303771,3.613803145908026,0.00030210386504676953
home,2.021550211885286,1.580458720126407,3.6050965570131863,0.00031242027607106113
tone_pos,11.100862323839557,12.144942721706496,-3.5147525859968294,0.00044064463198826816
focuspresent,2.944021385631221,3.313227335571795,-3.504263935770299,0.0004583659577211916
adj,9.73446880851483,10.697670847323721,-3.410067743511216,0.0006501012599909238
prosocial,2.1710544988666602,2.5813386332214097,-3.235316079590693,0.0012160694879410235
power,3.101550704641766,3.576956349990124,-3.1227607013529157,0.001792905246591626
Apostro,0.19044101704937422,0.27694993087102515,-3.1099493546782484,0.001872514436861499
emo_anger,0.3527278998718833,0.21479063796168277,2.9573987280907614,0.0031043715946808075
you,0.05736769488518773,0.02139689907169662,2.9282228794549314,0.003411251724772902
cause,0.7568695180841626,0.975663638159194,-2.8872593000910225,0.003888233149107705
Conversation,0.005420814033704544,0.018273256962275334,-2.8649827314264775,0.004173020666847212
assent,0.005420814033704544,0.018273256962275334,-2.8649827314264775,0.004173020666847212
Social,19.475297132157287,18.53489087497531,2.6647049717513367,0.0077086395499264175
insight,2.5721957228737558,2.945289354137863,-2.6490404355411816,0.008075218806535781
Affect,16.9232383955849,17.793529034169463,-2.48770798660759,0.012860913777276013
Tone,66.6919010989011,69.03011111111111,-2.462415778153183,0.013818638091545498
risk,0.5731654676258993,0.7200034564487457,-2.3993316693904743,0.01642959597064229
moral,0.6000906671922734,0.44000049377839223,2.36470569446015,0.018049212057680595
Drives,5.7208396570414894,6.197251135690301,-2.363376141906618,0.01811397707226131
polite,0.7311564994579679,0.5999155638949241,2.2398136120986414,0.02510858236886561
Cognition,11.019016458066423,11.59421291724274,-2.2274916432272978,0.025919902408525805
attention,0.5303700601162905,0.6794420304167489,-2.1783076584724994,0.029388948330940655
sexual,0.01149650142899379,0.00164576338139443,2.1203111847802703,0.033989254723166586
lack,0.2963077756972504,0.3939625715978668,-2.056596697030885,0.039731437488355885
number,0.04681383660195132,0.08888455461189018,-2.0129303146220106,0.0441293168796813
