Event Relation,Female Inference,Male Inference,Unisex Inference
[Name] argued with the designer AtLocation [GEN], furniture store, furniture store, skylar is angry at the designer
[Name] argued with the designer CapableOf [GEN], get a new job, make a point, get a new job
[Name] argued with the designer Causes [GEN], they are not happy with it, they are not happy with it, the designer is not listening
[Name] argued with the designer CausesDesire [GEN], they get a new one,    the design is not good enough, they get a new one
[Name] argued with the designer CreatedBy [GEN], get a new job, to get their point across, to argue with the designer
[Name] argued with the designer DefinedAs [GEN], get a new job, PersonX wants to buy a new car, they get a new one
[Name] argued with the designer DesireOf [GEN], they get a new one, PersonX wants to buy a new car, they get their way
[Name] argued with the designer Desires [GEN], to get their way, to express his opinion, to get their way
[Name] argued with the designer HasA [GEN], get a new job, they get a new product, they get a new job
[Name] argued with the designer HasFirstSubevent [GEN], gets yelled at by designer, PersonX gets yelled at, gets yelled at by designer
[Name] argued with the designer HasLastSubevent [GEN], PersonY tells PersonY to shut up, they get a new one, PersonX tells PersonX to stop arguing.
[Name] argued with the designer HasPainCharacter [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up, PersonX tells PersonX to shut up
[Name] argued with the designer HasPainIntensity [GEN], gets yelled at, get a new job, they get yelled at
[Name] argued with the designer HasPrerequisite [GEN], gets yelled at, they get a new design, gets yelled at by designer
[Name] argued with the designer HasProperty [GEN], they get a new one,  angry, they get their way
[Name] argued with the designer HasSubEvent [GEN], gets yelled at, get a new job, gets yelled at
[Name] argued with the designer HasSubevent [GEN], the designer to be happy, they don't agree with the design, the designer to be happy
[Name] argued with the designer HinderedBy [GEN], The designer won't answer the phone., The designer won't listen to them., The designer won't answer the phone.
[Name] argued with the designer InheritsFrom [GEN], they get a new dress, they are not happy with the design, they get a new one
[Name] argued with the designer InstanceOf [GEN], they get a new dress,    the design is not good enough, they get a new one
[Name] argued with the designer IsA [GEN], they get a new one, they are not happy, they get a better product
[Name] argued with the designer LocatedNear [GEN], to argue with the designer, to get their point across, to get their point across
