Event Relation,Female Inference,Male Inference,PersonX Inference
[Name] argued with the designer AtLocation [GEN],fashion show,garage,designer's office
[Name] argued with the designer CapableOf [GEN],object to design,change design,argue
[Name] argued with the designer Causes [GEN],argument,argument,to get a refund
[Name] argued with the designer CausesDesire [GEN],design,design,to get a refund
[Name] argued with the designer CreatedBy [GEN],design,design,to win the argument
[Name] argued with the designer DefinedAs [GEN],design,design,to get their point across
[Name] argued with the designer DesireOf [GEN],design,design,to win the argument
[Name] argued with the designer Desires [GEN],the design to be successful,to get rid of him,to make a point
[Name] argued with the designer HasA [GEN],design,design,to get a refund
[Name] argued with the designer HasFirstSubevent [GEN],design,design,to get a refund
[Name] argued with the designer HasLastSubevent [GEN],design,design,to get their point across
[Name] argued with the designer HasPainCharacter [GEN],design,design,to win the argument
[Name] argued with the designer HasPainIntensity [GEN],design,design,to win the argument
[Name] argued with the designer HasPrerequisite [GEN],design,design,to win
[Name] argued with the designer HasProperty [GEN],confused,mean,confused
[Name] argued with the designer HasSubEvent [GEN],gets yelled at,get yelled at,gets yelled at
[Name] argued with the designer HasSubevent [GEN],design,design,to win the argument
[Name] argued with the designer HinderedBy [GEN],PersonX is in a coma.,PersonX doesn't know how to argue.,PersonX doesn't know how to argue.
[Name] argued with the designer InheritsFrom [GEN],design,design,to get a refund
[Name] argued with the designer InstanceOf [GEN],design,design,to get a refund
[Name] argued with the designer IsA [GEN],design,design,to get a refund
[Name] argued with the designer LocatedNear [GEN],design,design,to get a refund
[Name] argued with the designer LocationOfAction [GEN],design,design,to win the argument
[Name] argued with the designer MadeOf [GEN],design,design,to win the argument
[Name] argued with the designer MadeUpOf [GEN],design,designer,argument
[Name] argued with the designer MotivatedByGoal [GEN],design,design,to go home
[Name] argued with the designer NotCapableOf [GEN],design,design,to get a refund
[Name] argued with the designer NotDesires [GEN],design,design,to get a refund
[Name] argued with the designer NotHasA [GEN],design,design,to win the argument
[Name] argued with the designer NotHasProperty [GEN],designer,design,to get a refund
[Name] argued with the designer NotIsA [GEN],design,design,to get a refund
[Name] argued with the designer NotMadeOf [GEN],design,design,to get a refund
[Name] argued with the designer ObjectUse [GEN],change the design,change the design,to get a refund
[Name] argued with the designer PartOf [GEN],design,design,to get a refund
[Name] argued with the designer ReceivesAction [GEN],design,design,to win the argument
[Name] argued with the designer RelatedTo [GEN],design,design,to win the argument
[Name] argued with the designer SymbolOf [GEN],design,design,to win the argument
[Name] argued with the designer UsedFor [GEN],design,design,to win the argument
[Name] argued with the designer isAfter [GEN],PersonX goes to the store,PersonX goes to the store,PersonX sees a design
[Name] argued with the designer isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired
[Name] argued with the designer isFilledBy [GEN],designer,designer,designer
[Name] argued with the designer oEffect [GEN],gets yelled at,gets yelled at,the designer gets fired
[Name] argued with the designer oReact [GEN],confused,disappointed,confused
[Name] argued with the designer oWant [GEN],to see what they did,to see if they understand,to make a decision
[Name] argued with the designer xAttr [GEN],argumentative,mean,argumentative
[Name] argued with the designer xEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] argued with the designer xIntent [GEN],to be heard,to show his opinion,to make a point
[Name] argued with the designer xNeed [GEN],to have an idea,to go to the store,to go to the designer
[Name] argued with the designer xReact [GEN],confused,upset,upset
[Name] argued with the designer xReason [GEN],the design is wrong,the design is wrong,the design was wrong
[Name] argued with the designer xWant [GEN],to get a refund,to go home,to get a refund
[Name] gave the clerk a present AtLocation [GEN],store,store,store
[Name] gave the clerk a present CapableOf [GEN],receive,present to the clerk,receive
[Name] gave the clerk a present Causes [GEN],to be happy,to be happy,to be happy
[Name] gave the clerk a present CausesDesire [GEN],give a gift,give a gift,to give a gift
[Name] gave the clerk a present CreatedBy [GEN],give a gift,give a gift,to be generous
[Name] gave the clerk a present DefinedAs [GEN],satisfied,give a gift,to thank the clerk
[Name] gave the clerk a present DesireOf [GEN],satisfied,give a gift,to give a gift
[Name] gave the clerk a present Desires [GEN],to be generous,to be generous,to be generous
[Name] gave the clerk a present HasA [GEN],satisfied,give a gift,to give a gift
[Name] gave the clerk a present HasFirstSubevent [GEN],satisfied,give a gift,to give a gift
