Event Relation,Female Inference,Male Inference,Unisex Inference
[Name] argued with the designer AtLocation [GEN],fashion show,garage,store
[Name] argued with the designer CapableOf [GEN],object to design,change design,design
[Name] argued with the designer Causes [GEN],argument,argument,argument
[Name] argued with the designer CausesDesire [GEN],design,design,designer
[Name] argued with the designer CreatedBy [GEN],design,design,design
[Name] argued with the designer DefinedAs [GEN],design,design,designer
[Name] argued with the designer DesireOf [GEN],design,design,designer
[Name] argued with the designer Desires [GEN],the design to be successful,to get rid of him,to be heard
[Name] argued with the designer HasA [GEN],design,design,design
[Name] argued with the designer HasFirstSubevent [GEN],design,design,designer
[Name] argued with the designer HasLastSubevent [GEN],design,design,design
[Name] argued with the designer HasPainCharacter [GEN],design,design,design
[Name] argued with the designer HasPainIntensity [GEN],design,design,design
[Name] argued with the designer HasPrerequisite [GEN],design,design,design
[Name] argued with the designer HasProperty [GEN],confused,mean,confused
[Name] argued with the designer HasSubEvent [GEN],gets yelled at,get yelled at,get yelled at
[Name] argued with the designer HasSubevent [GEN],design,design,design
[Name] argued with the designer HinderedBy [GEN],PersonX is in a coma.,PersonX doesn't know how to argue.,PersonX doesn't know what to say.
[Name] argued with the designer InheritsFrom [GEN],design,design,design
[Name] argued with the designer InstanceOf [GEN],design,design,design
[Name] argued with the designer IsA [GEN],design,design,design
[Name] argued with the designer LocatedNear [GEN],design,design,designer
[Name] argued with the designer LocationOfAction [GEN],design,design,design
[Name] argued with the designer MadeOf [GEN],design,design,design
[Name] argued with the designer MadeUpOf [GEN],design,designer,design
[Name] argued with the designer MotivatedByGoal [GEN],design,design,design
[Name] argued with the designer NotCapableOf [GEN],design,design,design
[Name] argued with the designer NotDesires [GEN],design,design,design
[Name] argued with the designer NotHasA [GEN],design,design,designer
[Name] argued with the designer NotHasProperty [GEN],designer,design,designer
[Name] argued with the designer NotIsA [GEN],design,design,design
[Name] argued with the designer NotMadeOf [GEN],design,design,designer
[Name] argued with the designer ObjectUse [GEN],change the design,change the design,learn about design
[Name] argued with the designer PartOf [GEN],design,design,designer
[Name] argued with the designer ReceivesAction [GEN],design,design,design
[Name] argued with the designer RelatedTo [GEN],design,design,design
[Name] argued with the designer SymbolOf [GEN],design,design,design
[Name] argued with the designer UsedFor [GEN],design,design,design
[Name] argued with the designer isAfter [GEN],PersonX goes to the store,PersonX goes to the store,PersonX sees a design
[Name] argued with the designer isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired
[Name] argued with the designer isFilledBy [GEN],designer,designer,designer
[Name] argued with the designer oEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] argued with the designer oReact [GEN],confused,disappointed,confused
[Name] argued with the designer oWant [GEN],to see what they did,to see if they understand,to see if they understand
[Name] argued with the designer xAttr [GEN],argumentative,mean,confused
[Name] argued with the designer xEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] argued with the designer xIntent [GEN],to be heard,to show his opinion,to be heard
[Name] argued with the designer xNeed [GEN],to have an idea,to go to the store,to approach the designer
[Name] argued with the designer xReact [GEN],confused,upset,satisfied
[Name] argued with the designer xReason [GEN],the design is wrong,the design is wrong,the design is wrong
[Name] argued with the designer xWant [GEN],to get a refund,to go home,to get a refund
[Name] gave the clerk a present AtLocation [GEN],store,store,store
[Name] gave the clerk a present CapableOf [GEN],receive,present to the clerk,receive
[Name] gave the clerk a present Causes [GEN],to be happy,to be happy,to be happy
[Name] gave the clerk a present CausesDesire [GEN],give a gift,give a gift,give a gift
[Name] gave the clerk a present CreatedBy [GEN],give a gift,give a gift,give a gift
[Name] gave the clerk a present DefinedAs [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present DesireOf [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present Desires [GEN],to be generous,to be generous,to be generous
[Name] gave the clerk a present HasA [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present HasFirstSubevent [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present HasLastSubevent [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present HasPainCharacter [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present HasPainIntensity [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present HasPrerequisite [GEN],satisfied,give a gift,give a gift
[Name] gave the clerk a present HasProperty [GEN],given to the clerk,kids,present
[Name] gave the clerk a present HasSubEvent [GEN],receive thanks,receive thanks,receive thanks
[Name] gave the clerk a present HasSubevent [GEN],the clerk,give a gift,give a gift
[Name] gave the clerk a present HinderedBy [GEN],The clerk is out of town.,PersonX has no money.,PersonX has no money.
