Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] argued with the designer AtLocation [GEN], furniture store, furniture store, PersonX doesn't like the design,1.0,0.141,0.141
[Name] argued with the designer CapableOf [GEN], get a new job, make a point, to argue with designer,0.177,0.152,0.259
[Name] argued with the designer Causes [GEN], they are not happy with it, they are not happy with it, PersonX doesn't agree with the design,1.0,0.206,0.206
[Name] argued with the designer CausesDesire [GEN], they get a new one,    the design is not good enough, PersonX is not happy with the design,0.127,0.186,0.544
[Name] argued with the designer CreatedBy [GEN], get a new job, to get their point across, PersonX wants a better product,0.041,0.081,0.171
[Name] argued with the designer DefinedAs [GEN], get a new job, PersonX wants to buy a new car, PersonX is not happy with the design,0.191,0.088,0.521
[Name] argued with the designer DesireOf [GEN], they get a new one, PersonX wants to buy a new car, PersonX doesn't like the design,0.319,0.181,0.543
[Name] argued with the designer Desires [GEN], to get their way, to express his opinion, to get their way,0.328,1.0,0.328
[Name] argued with the designer HasA [GEN], get a new job, they get a new product, PersonX is not happy with the design,0.436,0.088,0.24
[Name] argued with the designer HasFirstSubevent [GEN], gets yelled at by designer, PersonX gets yelled at, PersonX yells at the designer,0.476,0.712,0.744
[Name] argued with the designer HasLastSubevent [GEN], PersonY tells PersonY to shut up, they get a new one, PersonX is not happy with the design,0.153,0.399,0.186
[Name] argued with the designer HasPainCharacter [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up, PersonX is not happy with the design,1.0,0.399,0.399
[Name] argued with the designer HasPainIntensity [GEN], gets yelled at, get a new job, PersonX yells at the designer,0.194,0.356,0.157
[Name] argued with the designer HasPrerequisite [GEN], gets yelled at, they get a new design, PersonX is not happy with the design,0.209,0.09,0.434
[Name] argued with the designer HasProperty [GEN], they get a new one,  angry, PersonX is not happy,0.168,0.202,0.272
[Name] argued with the designer HasSubEvent [GEN], gets yelled at, get a new job, PersonX yells at the designer,0.194,0.356,0.157
[Name] argued with the designer HasSubevent [GEN], the designer to be happy, they don't agree with the design, PersonX wants a better product,0.369,0.236,0.173
[Name] argued with the designer HinderedBy [GEN], The designer won't answer the phone., The designer won't listen to them., PersonX doesn't have the authority to do so.,0.702,0.298,0.279
[Name] argued with the designer InheritsFrom [GEN], they get a new dress, they are not happy with the design, PersonX is not happy with the design,0.281,0.187,0.549
[Name] argued with the designer InstanceOf [GEN], they get a new dress,    the design is not good enough, PersonX doesn't like the design,0.13,0.17,0.496
[Name] argued with the designer IsA [GEN], they get a new one, they are not happy, PersonX wants a new car,0.303,0.371,0.111
[Name] argued with the designer LocatedNear [GEN], to argue with the designer, to get their point across, PersonX is not happy with the design,0.408,0.38,0.108
[Name] argued with the designer LocationOfAction [GEN], to get their point across, to get his point across, to get their way,0.903,0.653,0.566
[Name] argued with the designer MadeOf [GEN], they don't agree with the design, to get his point across, they don't like the design,0.125,0.804,0.166
[Name] argued with the designer MadeUpOf [GEN], the design is wrong, they get a new one, PersonX doesn't agree with the design,0.16,0.526,0.127
[Name] argued with the designer MotivatedByGoal [GEN], they get a new one, PersonX wants to buy a new car, PersonX doesn't like the design,0.319,0.181,0.543
[Name] argued with the designer NotCapableOf [GEN], they get their way, they get a new job, PersonX wants a better product,0.462,0.133,0.136
[Name] argued with the designer NotDesires [GEN], they get a new design, they get a new design, PersonX is not happy with the design,1.0,0.434,0.434
[Name] argued with the designer NotHasA [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up., PersonX is not happy with the design,0.96,0.399,0.359
[Name] argued with the designer NotHasProperty [GEN], they don't like it,  angry, annoyed,0.235,0.298,0.668
