Event Relation,Female Inference,Male Inference,PersonX Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,PersonX Sentiment: Negative,PersonX Sentiment: Neutral,PersonX Sentiment: Positive,PersonX Sentiment: Compound
[Name] argued with the designer AtLocation [GEN], furniture store, furniture store, PersonX doesn't like the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.345,0.655,0.0,-0.276
[Name] argued with the designer CapableOf [GEN], get a new job, make a point, to argue with designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.444,0.556,0.0,-0.34
[Name] argued with the designer Causes [GEN], they are not happy with it, they are not happy with it, PersonX doesn't agree with the design,0.375,0.625,0.0,-0.458,0.375,0.625,0.0,-0.458,0.297,0.703,0.0,-0.276
[Name] argued with the designer CausesDesire [GEN], they get a new one,    the design is not good enough, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.325,0.675,0.0,-0.341,0.333,0.667,0.0,-0.458
[Name] argued with the designer CreatedBy [GEN], get a new job, to get their point across, PersonX wants a better product,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.508,0.492,0.44
[Name] argued with the designer DefinedAs [GEN], get a new job, PersonX wants to buy a new car, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer DesireOf [GEN], they get a new one, PersonX wants to buy a new car, PersonX doesn't like the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.345,0.655,0.0,-0.276
[Name] argued with the designer Desires [GEN], to get their way, to express his opinion, to get their way,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasA [GEN], get a new job, they get a new product, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer HasFirstSubevent [GEN], gets yelled at by designer, PersonX gets yelled at, PersonX yells at the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasLastSubevent [GEN], PersonY tells PersonY to shut up, they get a new one, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer HasPainCharacter [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer HasPainIntensity [GEN], gets yelled at, get a new job, PersonX yells at the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasPrerequisite [GEN], gets yelled at, they get a new design, PersonX is not happy with the design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458
[Name] argued with the designer HasProperty [GEN], they get a new one,  angry, PersonX is not happy,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.511,0.5,0.5,0.0,-0.458
[Name] argued with the designer HasSubEvent [GEN], gets yelled at, get a new job, PersonX yells at the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasSubevent [GEN], the designer to be happy, they don't agree with the design, PersonX wants a better product,0.0,0.519,0.481,0.572,0.297,0.703,0.0,-0.276,0.0,0.508,0.492,0.44
