word,female_count,male_count,Unisex_count,f_m_ratio,sentiment
smiles,12,14,10,0.867,0.477
uncomfortable,7,0,0,8.0,-0.382
murderer,6,10,14,0.636,-0.681
legal,1,4,7,0.4,0.128
curious,42,40,42,1.049,0.318
fool,3,4,5,0.8,-0.44
likes,61,52,66,1.17,0.422
anxious,3,2,4,1.333,-0.25
generous,12,13,10,0.929,0.511
save,3,3,0,1.0,0.494
sick,5,9,5,0.6,-0.511
lost,1,9,8,0.2,-0.318
guilty,8,9,10,0.9,-0.422
detention,8,1,3,4.5,-0.361
truth,36,50,40,0.725,0.318
confused,7,8,6,0.889,-0.318
rich,4,5,4,0.833,0.557
recommended,1,2,3,0.667,0.202
compliments,0,12,15,0.077,0.402
refused,11,0,0,12.0,-0.296
greeted,2,1,2,1.5,0.273
nervous,23,18,17,1.263,-0.273
cut,175,140,157,1.248,-0.273
win,13,22,17,0.609,0.586
fear,3,7,2,0.5,-0.494
hard,5,3,14,1.5,-0.103
impressed,6,1,4,3.5,0.477
trustworthy,12,9,12,1.3,0.557
sore,2,2,1,1.0,-0.361
stolen,2,4,2,0.6,-0.494
laugh,13,6,4,2.0,0.557
determined,7,3,3,2.0,0.34
pray,12,2,3,4.333,0.318
trust,23,31,18,0.75,0.511
pay,430,436,447,0.986,-0.103
stops,9,1,4,5.0,-0.153
stop,97,95,71,1.021,-0.296
friends,0,5,2,0.167,0.477
respectful,3,3,4,1.0,0.459
nice,87,95,86,0.917,0.422
agrees,2,6,4,0.429,0.202
vindicated,4,2,4,1.667,0.422
treat,3,2,1,1.333,0.402
incompetent,3,2,3,1.333,-0.477
recommends,2,3,5,0.75,0.226
unintelligent,3,3,3,1.0,-0.459
trusted,5,4,6,1.2,0.477
forgetful,4,2,2,1.667,-0.273
cared,5,8,5,0.667,0.422
funny,2,4,2,0.6,0.44
reward,6,10,10,0.636,0.572
smart,1,4,3,0.4,0.402
novel,7,6,6,1.143,0.318
agree,1,2,4,0.667,0.361
bad,46,58,71,0.797,-0.542
hurt,17,13,28,1.286,-0.527
smile,3,3,0,1.0,0.361
liar,53,49,41,1.08,-0.511
broke,20,7,16,2.625,-0.422
worried,7,13,10,0.571,-0.296
appreciative,8,8,4,1.0,0.557
fraud,5,0,2,6.0,-0.586
fire,2,4,1,0.6,-0.34
indecisive,3,3,3,1.0,-0.25
argument,2,5,2,0.5,-0.361
appreciation,3,8,7,0.444,0.511
accomplished,8,10,9,0.818,0.44
clean,594,644,572,0.922,0.402
helpful,223,227,221,0.982,0.422
fooled,3,7,7,0.5,-0.382
greets,7,4,13,1.6,0.153
argue,3,3,5,1.0,-0.34
murdered,11,5,7,2.0,-0.66
convince,4,7,10,0.625,0.25
pain,3,11,9,0.333,-0.511
important,5,7,4,0.75,0.202
lying,7,4,6,1.6,-0.527
warning,2,3,3,0.75,-0.34
mad,52,44,45,1.178,-0.494
helps,40,42,39,0.953,0.382
apologized,1,3,1,0.5,0.318
sad,5,5,3,1.0,-0.477
admitted,2,1,5,1.5,0.103
prepared,16,14,17,1.133,0.226
mistakes,1,6,0,0.286,-0.361
demanding,5,5,6,1.0,-0.226
fight,16,18,17,0.895,-0.382
help,373,388,333,0.961,0.402
focused,1,2,6,0.667,0.382
honest,25,44,48,0.578,0.511
mess,53,52,50,1.019,-0.361
compliment,8,11,17,0.75,0.477
missing,1,9,7,0.2,-0.296
like,98,101,105,0.971,0.361
missed,3,6,3,0.571,-0.296
greet,6,7,4,0.875,0.318
protected,13,9,16,1.4,0.44
rude,117,114,88,1.026,-0.459
favor,12,10,18,1.182,0.402
number,7,16,12,0.471,0.077
satisfied,93,89,87,1.044,0.422
lawsuit,2,4,3,0.6,-0.226
guilt,5,0,0,6.0,-0.273
frustrated,4,6,6,0.714,-0.527
impress,4,5,9,0.833,0.44
accident,9,8,6,1.111,-0.477
welcomed,8,8,0,1.0,0.34
relieved,37,30,39,1.226,0.382
jerk,2,5,5,0.5,-0.34
agreement,42,43,42,0.977,0.494
problem,23,21,21,1.091,-0.402
apology,4,5,4,0.833,0.052
care,1,2,4,0.667,0.494
helping,6,2,3,2.333,0.296
trusting,2,2,2,1.0,0.402
cuts,42,40,61,1.049,-0.296
profit,13,8,9,1.556,0.44
healthy,10,19,10,0.55,0.402
well,22,33,21,0.676,0.273
escape,2,4,2,0.6,0.178
complaint,5,7,4,0.75,-0.296
fired,316,249,291,1.268,-0.557
hug,67,46,40,1.447,0.477
fun,9,4,4,2.0,0.511
laughing,1,2,3,0.667,0.494
arrested,103,97,108,1.061,-0.477
friendly,23,26,25,0.889,0.494
creative,10,16,14,0.647,0.44
disappointed,2,2,2,1.0,-0.477
party,14,18,15,0.789,0.402
rejected,2,5,2,0.5,-0.511
injured,9,11,9,0.833,-0.402
leave,164,118,111,1.387,-0.052
broken,4,6,2,0.714,-0.477
punished,0,6,15,0.143,-0.459
admire,0,1,4,0.5,0.477
hide,5,5,4,1.0,-0.178
gift,71,66,72,1.075,0.44
trouble,48,65,49,0.742,-0.402
deceive,2,0,6,3.0,-0.402
surprise,3,4,1,0.8,0.273
intelligent,1,2,2,0.667,0.459
excited,5,1,0,3.0,0.34
surprised,41,37,38,1.105,0.226
bonus,1,6,3,0.286,0.542
promoted,3,8,9,0.444,0.422
assault,5,11,8,0.5,-0.586
loses,0,4,1,0.2,-0.318
responsible,17,19,28,0.9,0.318
