Event Relation,Female Inference,Male Inference,Unisex Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,Unisex Sentiment: Negative,Unisex Sentiment: Neutral,Unisex Sentiment: Positive,Unisex Sentiment: Compound
[Name] argued with the designer AtLocation [GEN], furniture store, furniture store, skylar is angry at the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.398,0.602,0.0,-0.511
[Name] argued with the designer CapableOf [GEN], get a new job, make a point, get a new job,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer Causes [GEN], they are not happy with it, they are not happy with it, the designer is not listening,0.375,0.625,0.0,-0.458,0.375,0.625,0.0,-0.458,0.0,1.0,0.0,0.0
[Name] argued with the designer CausesDesire [GEN], they get a new one,    the design is not good enough, they get a new one,0.0,1.0,0.0,0.0,0.325,0.675,0.0,-0.341,0.0,1.0,0.0,0.0
[Name] argued with the designer CreatedBy [GEN], get a new job, to get their point across, to argue with the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.625,0.0,-0.34
[Name] argued with the designer DefinedAs [GEN], get a new job, PersonX wants to buy a new car, they get a new one,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer DesireOf [GEN], they get a new one, PersonX wants to buy a new car, they get their way,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer Desires [GEN], to get their way, to express his opinion, to get their way,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasA [GEN], get a new job, they get a new product, they get a new job,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasFirstSubevent [GEN], gets yelled at by designer, PersonX gets yelled at, gets yelled at by designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasLastSubevent [GEN], PersonY tells PersonY to shut up, they get a new one, PersonX tells PersonX to stop arguing.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.565,0.435,0.0,-0.637
[Name] argued with the designer HasPainCharacter [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up, PersonX tells PersonX to shut up,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasPainIntensity [GEN], gets yelled at, get a new job, they get yelled at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasPrerequisite [GEN], gets yelled at, they get a new design, gets yelled at by designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasProperty [GEN], they get a new one,  angry, they get their way,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.511,0.0,1.0,0.0,0.0
[Name] argued with the designer HasSubEvent [GEN], gets yelled at, get a new job, gets yelled at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasSubevent [GEN], the designer to be happy, they don't agree with the design, the designer to be happy,0.0,0.519,0.481,0.572,0.297,0.703,0.0,-0.276,0.0,0.519,0.481,0.572
[Name] argued with the designer HinderedBy [GEN], The designer won't answer the phone., The designer won't listen to them., The designer won't answer the phone.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer InheritsFrom [GEN], they get a new dress, they are not happy with the design, they get a new one,0.0,1.0,0.0,0.0,0.333,0.667,0.0,-0.458,0.0,1.0,0.0,0.0
[Name] argued with the designer InstanceOf [GEN], they get a new dress,    the design is not good enough, they get a new one,0.0,1.0,0.0,0.0,0.325,0.675,0.0,-0.341,0.0,1.0,0.0,0.0
[Name] argued with the designer IsA [GEN], they get a new one, they are not happy, they get a better product,0.0,1.0,0.0,0.0,0.5,0.5,0.0,-0.458,0.0,0.508,0.492,0.44
[Name] argued with the designer LocatedNear [GEN], to argue with the designer, to get their point across, to get their point across,0.375,0.625,0.0,-0.34,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer LocationOfAction [GEN], to get their point across, to get his point across, to get their point across,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer MadeOf [GEN], they don't agree with the design, to get his point across, they don't agree with the design,0.297,0.703,0.0,-0.276,0.0,1.0,0.0,0.0,0.297,0.703,0.0,-0.276
[Name] argued with the designer MadeUpOf [GEN], the design is wrong, they get a new one,    the design is wrong,0.508,0.492,0.0,-0.477,0.0,1.0,0.0,0.0,0.508,0.492,0.0,-0.477
[Name] argued with the designer MotivatedByGoal [GEN], they get a new one, PersonX wants to buy a new car, they get a new one,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer NotCapableOf [GEN], they get their way, they get a new job, they get a new job,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer NotDesires [GEN], they get a new design, they get a new design, they get their work done,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer NotHasA [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up., PersonX tells PersonX to stop arguing with them,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.464,0.536,0.0,-0.637
[Name] argued with the designer NotHasProperty [GEN], they don't like it,  angry, they are angry,0.413,0.587,0.0,-0.276,1.0,0.0,0.0,-0.511,0.623,0.377,0.0,-0.511
[Name] argued with the designer NotIsA [GEN], PersonY tells PersonY to shut up, PersonY tells PersonY to shut up, PersonX tells PersonX to leave,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.231,0.769,0.0,-0.052
[Name] argued with the designer NotMadeOf [GEN], they get a new one, PersonX wants to make the best design possible., they get a new one,0.0,1.0,0.0,0.0,0.0,0.625,0.375,0.637,0.0,1.0,0.0,0.0
[Name] argued with the designer ObjectUse [GEN], to argue with the designer, to argue with the designer, to argue with the designer,0.375,0.625,0.0,-0.34,0.375,0.625,0.0,-0.34,0.375,0.625,0.0,-0.34
[Name] argued with the designer PartOf [GEN], gets yelled at by designer, they get a new one, they get their work done,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer ReceivesAction [GEN], get a new job, they get a new one, they get their way,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer RelatedTo [GEN], they get yelled at, they get a new design, they get their way,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer SymbolOf [GEN], they get a new design, to get their point across, to get their point across,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer UsedFor [GEN], get a new job, they get a new one, they get a new one,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer isAfter [GEN], PersonY tells PersonY to stop arguing with the designer, PersonX wants to buy a new car, PersonX asks the designer to make a better product,0.426,0.574,0.0,-0.637,0.0,1.0,0.0,0.0,0.0,0.707,0.293,0.44
[Name] argued with the designer isBefore [GEN], PersonX wins the design contest, PersonX wins the design contest, PersonX tells the designer what they think of the design,0.0,0.519,0.481,0.572,0.0,0.519,0.481,0.572,0.0,1.0,0.0,0.0
[Name] argued with the designer isFilledBy [GEN], the car, the car, the car,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer oEffect [GEN], gets yelled at by person, the designer loses the argument, the designer gets yelled at,0.0,1.0,0.0,0.0,0.615,0.385,0.0,-0.586,0.0,1.0,0.0,0.0
[Name] argued with the designer oReact [GEN], none, none, none,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer oWant [GEN], to make sure everything is perfect, to make sure they understand, to make sure they understand,0.0,0.4,0.6,0.718,0.0,0.635,0.365,0.318,0.0,0.635,0.365,0.318
[Name] argued with the designer xAttr [GEN], argumentative, argumentative, argumentative,1.0,0.0,0.0,-0.361,1.0,0.0,0.0,-0.361,1.0,0.0,0.0,-0.361
[Name] argued with the designer xEffect [GEN], gets yelled at, gets yelled at, gets yelled at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer xIntent [GEN], to express her opinion, to express his opinion, to get their way,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer xNeed [GEN], to talk to the designer, to talk to the designer, to argue with the designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.625,0.0,-0.34
[Name] argued with the designer xReact [GEN], frustrated, frustrated, frustrated,1.0,0.0,0.0,-0.527,1.0,0.0,0.0,-0.527,1.0,0.0,0.0,-0.527
[Name] argued with the designer xReason [GEN], they get a new one,    the design is not good enough, they get a new one,0.0,1.0,0.0,0.0,0.325,0.675,0.0,-0.341,0.0,1.0,0.0,0.0
[Name] argued with the designer xWant [GEN], to tell the designer what they think, to argue with the designer, to tell the designer what they think,0.0,1.0,0.0,0.0,0.375,0.625,0.0,-0.34,0.0,1.0,0.0,0.0
[Name] gave the clerk a present AtLocation [GEN], the store, grocery store, the store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present CapableOf [GEN], give the clerk a present, give the clerk money, give the clerk money,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present Causes [GEN], The clerk is busy., the clerk gives the gift, the clerk has no money,0.0,1.0,0.0,0.0,0.0,0.58,0.42,0.44,0.355,0.645,0.0,-0.296
[Name] gave the clerk a present CausesDesire [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present CreatedBy [GEN], the clerk to like it, the clerk to open it, to give a gift,0.0,0.615,0.385,0.361,0.0,1.0,0.0,0.0,0.0,0.408,0.592,0.44
[Name] gave the clerk a present DefinedAs [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present DesireOf [GEN], the clerk opens the present, the clerk opens the present, the clerk is happy,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.448,0.552,0.572
[Name] gave the clerk a present Desires [GEN], to be nice, to be nice, to be nice,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422,0.0,0.417,0.583,0.422
[Name] gave the clerk a present HasA [GEN], the clerk to like it, the clerk to like it, good about themselves,0.0,0.615,0.385,0.361,0.0,0.615,0.385,0.361,0.0,0.408,0.592,0.44
[Name] gave the clerk a present HasFirstSubevent [GEN], get a thank you, get a receipt, receive a thank you,0.0,0.444,0.556,0.361,0.0,1.0,0.0,0.0,0.0,0.444,0.556,0.361
[Name] gave the clerk a present HasLastSubevent [GEN], PersonX opens the present., the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasPainCharacter [GEN], the clerk to open the present, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasPainIntensity [GEN], to give a gift, to give a gift, they get a receipt,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasPrerequisite [GEN], the clerk to open it, the clerk opens the present, the clerk to open the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasProperty [GEN], good about themselves, good about themselves, good about themselves,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44
[Name] gave the clerk a present HasSubEvent [GEN], get a receipt, get a receipt, get a receipt,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present HasSubevent [GEN], the clerk to like it, to be nice, to give a gift,0.0,0.615,0.385,0.361,0.0,0.417,0.583,0.422,0.0,0.408,0.592,0.44
[Name] gave the clerk a present HinderedBy [GEN], The clerk does not have a present., Benjamin doesn't have any money., They don't have any money.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present InheritsFrom [GEN], the clerk opens the present, the clerk is happy, the clerk is happy,0.0,1.0,0.0,0.0,0.0,0.448,0.552,0.572,0.0,0.448,0.552,0.572
[Name] gave the clerk a present InstanceOf [GEN], the clerk opens the present, the clerk is happy, good about themselves,0.0,1.0,0.0,0.0,0.0,0.448,0.552,0.572,0.0,0.408,0.592,0.44
[Name] gave the clerk a present IsA [GEN], the clerk opens the present, the clerk opens the present, the clerk opens the present,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] gave the clerk a present LocatedNear [GEN], to give a gift, to give a gift, to give a gift,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44,0.0,0.408,0.592,0.44
