word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,gender_association_score
grace,17,0,0,18.0,0.422,0.999999941176474
refused,11,0,0,12.0,-0.296,0.9999999090909174
uncomfortable,7,0,0,8.0,-0.382,0.9999998571428775
punished,0,6,0,0.143,-0.459,-0.9999998333333611
guilt,5,0,0,6.0,-0.273,0.99999980000004
complaining,5,0,1,6.0,-0.202,0.8333331944444675
missing,1,9,0,0.2,-0.296,-0.7999999200000081
detention,8,1,0,4.5,-0.361,0.7777776913580343
perfect,4,26,0,0.185,0.572,-0.7333333088888897
impressed,6,1,0,3.5,0.477,0.7142856122449125
stops,9,1,2,5.0,-0.153,0.6666666111111158
bonus,1,6,1,0.286,0.542,-0.6249999218750099
compliments,0,12,8,0.077,0.402,-0.5999999700000015
legal,1,4,0,0.4,0.128,-0.599999880000024
revenge,1,5,1,0.333,-0.527,-0.57142848979593
pray,12,2,4,4.333,0.318,0.5555555246913597
friends,0,5,4,0.167,0.477,-0.5555554938271674
mistakes,1,6,2,0.286,-0.361,-0.5555554938271674
helping,6,2,0,2.333,0.296,0.4999999375000079
agrees,2,6,0,0.429,0.202,-0.4999999375000079
smart,1,4,1,0.4,0.402,-0.49999991666668053
jerk,2,5,0,0.5,-0.34,-0.4285713673469475
rejected,2,5,0,0.5,-0.511,-0.4285713673469475
fraud,5,0,7,6.0,-0.586,0.41666663194444736
promoted,3,8,1,0.444,0.422,-0.41666663194444736
calm,12,5,0,2.167,0.318,0.4117646816609011
fear,3,7,0,0.5,-0.494,-0.39999996000000404
excited,5,1,4,3.0,0.34,0.39999996000000404
sociable,2,0,3,3.0,0.44,0.399999920000016
pain,3,11,7,0.333,-0.511,-0.38095236281179223
murdered,11,5,0,2.0,-0.66,0.37499997656250145
fooled,3,7,1,0.5,-0.382,-0.3636363305785154
assault,5,11,1,0.5,-0.586,-0.35294115570934376
complain,0,5,10,0.167,-0.361,-0.3333333111111126
refuse,3,1,2,2.0,-0.296,0.33333327777778704
stolen,2,4,0,0.6,-0.494,-0.33333327777778704
forget,2,4,0,0.6,-0.226,-0.33333327777778704
successful,8,4,1,1.8,0.586,0.3076922840236705
determined,7,3,3,2.0,0.34,0.3076922840236705
broke,20,7,17,2.625,-0.422,0.2954545387396696
fun,9,4,4,2.0,0.511,0.2941176297577865
laugh,13,6,6,2.0,0.557,0.27999998880000043
attractive,7,4,0,1.6,0.44,0.2727272479338866
healthy,10,19,6,0.55,0.402,-0.2571428497959186
appreciation,3,8,9,0.444,0.511,-0.2499999875000006
lying,7,4,1,1.6,-0.527,0.2499999791666684
interested,4,7,1,0.625,0.402,-0.2499999791666684
criminal,1,3,4,0.5,-0.527,-0.24999996875000394
forgetful,4,2,2,1.667,-0.273,0.24999996875000394
succeed,23,14,0,1.6,0.494,0.24324323666910172
number,7,16,14,0.471,0.077,-0.24324323666910172
reward,6,10,1,0.636,0.572,-0.23529410380622917
anger,2,6,9,0.429,-0.572,-0.23529410380622917
honest,25,44,12,0.578,0.511,-0.23456789833866792
murderer,6,10,2,0.636,-0.681,-0.2222222098765439
cared,5,8,1,0.667,0.422,-0.21428569897959293
funny,2,4,4,0.6,0.44,-0.19999998000000202
empty,3,2,0,1.333,-0.202,0.199999960000008
agree,1,2,2,0.667,0.361,-0.199999960000008
recommends,2,3,0,0.75,0.226,-0.199999960000008
allow,3,2,0,1.333,0.226,0.199999960000008
accept,2,3,0,0.75,0.382,-0.199999960000008
greets,7,4,5,1.6,0.153,0.18749998828125072
escape,2,4,5,0.6,0.178,-0.1818181652892577
hard,5,3,3,1.5,-0.103,0.1818181652892577
hug,67,46,4,1.447,0.477,0.17948717795310104
profit,13,8,8,1.556,0.44,0.17241378715814526
well,22,33,11,0.676,0.273,-0.16666666414141418
wins,4,14,42,0.333,0.572,-0.16666666388888896
fire,2,4,6,0.6,-0.34,-0.16666665277777895
regretful,2,3,1,0.75,-0.44,-0.16666663888889352
beautiful,1,0,5,2.0,0.599,0.16666663888889352
laughs,1,0,5,2.0,0.494,0.16666663888889352
incompetent,3,2,1,1.333,-0.477,0.16666663888889352
treat,3,2,1,1.333,0.402,0.16666663888889352
win,13,22,21,0.609,0.586,-0.16071428284438782
missed,3,6,10,0.571,-0.296,-0.15789472853185638
creative,10,16,13,0.647,0.44,-0.1538461499013808
protected,13,9,4,1.4,0.44,0.15384614792899431
frustrated,4,6,3,0.714,-0.527,-0.15384614201183525
vindicated,4,2,7,1.667,0.422,0.15384614201183525
authority,1,7,33,0.25,0.077,-0.14634145984533026
leave,164,118,40,1.387,-0.052,0.14285714241348713
considerate,5,7,2,0.75,0.44,-0.14285713265306196
care,1,2,4,0.667,0.494,-0.1428571224489825
greeted,2,1,4,1.5,0.273,0.1428571224489825
lose,32,24,1,1.32,-0.402,0.14035087473068641
loses,0,4,25,0.2,-0.318,-0.13793102972651622
trustworthy,12,9,1,1.3,0.557,0.13636363016528952
tired,6,17,58,0.389,-0.44,-0.1358024674592288
apologize,30,21,17,1.409,0.103,0.13235293923010383
ready,48,63,5,0.766,0.361,-0.12931034371284186
worried,7,13,27,0.571,-0.296,-0.12765957175192402
compliment,8,11,5,0.75,0.477,-0.12499999479166687
best,6,3,15,1.75,0.637,0.12499999479166687
trusts,0,2,14,0.333,0.477,-0.12499999218750048
proud,0,1,7,0.5,0.477,-0.12499998437500197
warning,2,3,3,0.75,-0.34,-0.12499998437500197
anxious,3,2,3,1.333,-0.25,0.12499998437500197
ok,6,9,10,0.7,0.296,-0.11999999520000018
friend,29,44,53,0.667,0.494,-0.11904761810279668
impression,6,8,3,0.778,0.226,-0.11764705190311459
apologizes,87,63,57,1.375,0.361,0.11594202842540083
sure,67,95,81,0.708,0.318,-0.11522633697437722
protect,26,20,7,1.286,0.382,0.11320754503381991
complaint,5,7,6,0.75,-0.296,-0.11111110493827195
bully,2,1,6,1.5,-0.494,0.11111109876543349
fool,3,4,2,0.8,-0.44,-0.11111109876543349
lost,1,9,68,0.2,-0.318,-0.1025641012491782
happy,192,254,162,0.757,0.572,-0.10197368404280645
trouble,48,65,54,0.742,-0.402,-0.10179640657606942
trust,23,31,26,0.75,0.511,-0.09999999875000001
dirty,4,6,10,0.714,-0.44,-0.09999999500000024
lawsuit,2,4,14,0.6,-0.226,-0.09999999500000024
surprise,3,4,3,0.8,0.273,-0.09999999000000101
fired,316,249,112,1.268,-0.557,0.09896602644170455
hurt,17,13,12,1.286,-0.527,0.0952380929705216
convince,4,7,21,0.625,0.25,-0.0937499970703126
truth,36,50,65,0.725,0.318,-0.09271523117407132
unhappy,3,6,24,0.571,-0.422,-0.09090908815427007
cheated,0,2,20,0.333,-0.511,-0.09090908677685969
ignore,4,3,4,1.25,-0.361,0.09090908264462885
fake,0,1,10,0.5,-0.477,-0.09090908264462885
cheating,16,29,100,0.567,-0.557,-0.08965517179548158
wrong,37,49,49,0.76,-0.477,-0.08888888823045268
apology,4,5,3,0.833,0.052,-0.08333332638888948
nervous,23,18,21,1.263,-0.273,0.08064515998959419
better,233,194,65,1.2,0.44,0.07926829252181242
okay,11,14,14,0.8,0.226,-0.0769230749506904
cheat,1,2,10,0.667,-0.459,-0.07692307100591762
