word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,gender_association_score
grace,17,0,0,18.0,0.422,0.999999941176474
refused,11,0,0,12.0,-0.296,0.9999999090909174
uncomfortable,7,0,0,8.0,-0.382,0.9999998571428775
guilt,5,0,0,6.0,-0.273,0.99999980000004
complaining,5,0,1,6.0,-0.202,0.8333331944444675
detention,8,1,0,4.5,-0.361,0.7777776913580343
impressed,6,1,0,3.5,0.477,0.7142856122449125
stops,9,1,2,5.0,-0.153,0.6666666111111158
pray,12,2,4,4.333,0.318,0.5555555246913597
fraud,5,0,7,6.0,-0.586,0.41666663194444736
