word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,gender_association_score
punished,0,6,0,0.143,-0.459,-0.9999998333333611
missing,1,9,0,0.2,-0.296,-0.7999999200000081
perfect,4,26,0,0.185,0.572,-0.7333333088888897
bonus,1,6,1,0.286,0.542,-0.6249999218750099
compliments,0,12,8,0.077,0.402,-0.5999999700000015
friends,0,5,4,0.167,0.477,-0.5555554938271674
mistakes,1,6,2,0.286,-0.361,-0.5555554938271674
complain,0,5,10,0.167,-0.361,-0.3333333111111126
authority,1,7,33,0.25,0.077,-0.14634145984533026
loses,0,4,25,0.2,-0.318,-0.13793102972651622
lost,1,9,68,0.2,-0.318,-0.1025641012491782
