word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,gender_association_score
grace,17,0,0,18.0,0.422,0.999999941176474
refused,11,0,0,12.0,-0.296,0.9999999090909174
uncomfortable,7,0,0,8.0,-0.382,0.9999998571428775
guilt,5,0,0,6.0,-0.273,0.99999980000004
complaining,5,0,1,6.0,-0.202,0.8333331944444675
fraud,5,0,2,6.0,-0.586,0.7142856122449125
pray,12,2,3,4.333,0.318,0.588235259515573
detention,8,1,3,4.5,-0.361,0.5833332847222263
stops,9,1,4,5.0,-0.153,0.5714285306122479
impressed,6,1,4,3.5,0.477,0.4545454132231443
