word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,gender_association_score
loses,0,4,1,0.2,-0.318,-0.799999840000032
friends,0,5,2,0.167,0.477,-0.7142856122449125
mistakes,1,6,0,0.286,-0.361,-0.7142856122449125
authority,1,7,2,0.25,0.077,-0.599999940000006
complain,0,5,4,0.167,-0.361,-0.5555554938271674
perfect,4,26,10,0.185,0.572,-0.5499999862500004
bonus,1,6,3,0.286,0.542,-0.499999950000005
missing,1,9,7,0.2,-0.296,-0.47058820761245834
compliments,0,12,15,0.077,0.402,-0.44444442798353967
lost,1,9,8,0.2,-0.318,-0.4444444197530878
punished,0,6,15,0.143,-0.459,-0.28571427210884415
