word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,gender_association_score
grace,17,0,0,18.0,0.422,0.999999941176474
refused,11,0,0,12.0,-0.296,0.9999999090909174
uncomfortable,7,0,0,8.0,-0.382,0.9999998571428775
guilt,5,0,0,6.0,-0.273,0.99999980000004
complaining,5,0,1,6.0,-0.202,0.8333331944444675
loses,0,4,1,0.2,-0.318,-0.799999840000032
friends,0,5,2,0.167,0.477,-0.7142856122449125
fraud,5,0,2,6.0,-0.586,0.7142856122449125
mistakes,1,6,0,0.286,-0.361,-0.7142856122449125
excited,5,1,0,3.0,0.34,0.6666665555555741
authority,1,7,2,0.25,0.077,-0.599999940000006
pray,12,2,3,4.333,0.318,0.588235259515573
detention,8,1,3,4.5,-0.361,0.5833332847222263
stops,9,1,4,5.0,-0.153,0.5714285306122479
complain,0,5,4,0.167,-0.361,-0.5555554938271674
perfect,4,26,10,0.185,0.572,-0.5499999862500004
bonus,1,6,3,0.286,0.542,-0.499999950000005
missing,1,9,7,0.2,-0.296,-0.47058820761245834
impressed,6,1,4,3.5,0.477,0.4545454132231443
compliments,0,12,15,0.077,0.402,-0.44444442798353967
lost,1,9,8,0.2,-0.318,-0.4444444197530878
revenge,1,5,3,0.333,-0.527,-0.44444439506173394
refuse,3,1,1,2.0,-0.296,0.399999920000016
apologized,1,3,1,0.5,0.318,-0.399999920000016
smart,1,4,3,0.4,0.402,-0.3749999531250059
wins,4,14,9,0.333,0.572,-0.37037035665294976
helping,6,2,3,2.333,0.296,0.3636363305785154
pain,3,11,9,0.333,-0.511,-0.34782607183364905
fear,3,7,2,0.5,-0.494,-0.3333333055555579
agrees,2,6,4,0.429,0.202,-0.3333333055555579
rejected,2,5,2,0.5,-0.511,-0.33333329629630043
argument,2,5,2,0.5,-0.361,-0.33333329629630043
determined,7,3,3,2.0,0.34,0.3076922840236705
laugh,13,6,4,2.0,0.557,0.3043478128544429
calm,12,5,6,2.167,0.318,0.3043478128544429
broke,20,7,16,2.625,-0.422,0.30232557436452157
fun,9,4,4,2.0,0.511,0.2941176297577865
punished,0,6,15,0.143,-0.459,-0.28571427210884415
punish,0,2,5,0.333,-0.527,-0.285714244897965
fire,2,4,1,0.6,-0.34,-0.285714244897965
forget,2,4,1,0.6,-0.226,-0.285714244897965
appreciation,3,8,7,0.444,0.511,-0.27777776234567986
murdered,11,5,7,2.0,-0.66,0.2608695538752368
number,7,16,12,0.471,0.077,-0.2571428497959186
tired,6,17,20,0.389,-0.44,-0.25581394753921055
assault,5,11,8,0.5,-0.586,-0.24999998958333375
promoted,3,8,9,0.444,0.422,-0.2499999875000006
jerk,2,5,5,0.5,-0.34,-0.2499999791666684
missed,3,6,3,0.571,-0.296,-0.2499999791666684
legal,1,4,7,0.4,0.128,-0.2499999791666684
escape,2,4,2,0.6,0.178,-0.24999996875000394
forgetful,4,2,2,1.667,-0.273,0.24999996875000394
funny,2,4,2,0.6,0.44,-0.24999996875000394
stolen,2,4,2,0.6,-0.494,-0.24999996875000394
deceive,2,0,6,3.0,-0.402,0.24999996875000394
fooled,3,7,7,0.5,-0.382,-0.23529410380622917
healthy,10,19,10,0.55,0.402,-0.2307692248520712
best,6,3,4,1.75,0.637,0.23076921301775286
lawsuit,2,4,3,0.6,-0.226,-0.22222219753086697
unhappy,3,6,5,0.571,-0.422,-0.21428569897959293
sick,5,9,5,0.6,-0.511,-0.21052630470914185
worried,7,13,10,0.571,-0.296,-0.19999999333333354
successful,8,4,8,1.8,0.586,0.1999999900000005
attractive,7,4,4,1.6,0.44,0.19999998666666757
vindicated,4,2,4,1.667,0.422,0.19999998000000202
admire,0,1,4,0.5,0.477,-0.199999960000008
intelligent,1,2,2,0.667,0.459,-0.199999960000008
greeted,2,1,2,1.5,0.273,0.199999960000008
interested,4,7,5,0.625,0.402,-0.18749998828125072
succeed,23,14,12,1.6,0.494,0.18367346563931702
cheating,16,29,26,0.567,-0.557,-0.18309858897044243
lied,3,5,3,0.667,-0.382,-0.1818181652892577
lying,7,4,6,1.6,-0.527,0.17647057785467188
win,13,22,17,0.609,0.586,-0.17307691974852077
profit,13,8,9,1.556,0.44,0.16666666111111128
cared,5,8,5,0.667,0.422,-0.1666666574074079
broken,4,6,2,0.714,-0.477,-0.16666665277777895
recommended,1,2,3,0.667,0.202,-0.16666663888889352
laughing,1,2,3,0.667,0.494,-0.16666663888889352
accept,2,3,1,0.75,0.382,-0.16666663888889352
allow,3,2,1,1.333,0.226,0.16666663888889352
treat,3,2,1,1.333,0.402,0.16666663888889352
honest,25,44,48,0.578,0.511,-0.16239316100518666
reward,6,10,10,0.636,0.572,-0.15384614792899431
dirty,4,6,3,0.714,-0.44,-0.15384614201183525
creative,10,16,14,0.647,0.44,-0.1499999962500001
well,22,33,21,0.676,0.273,-0.14473684020083105
anger,2,6,20,0.429,-0.572,-0.14285713775510223
convince,4,7,10,0.625,0.25,-0.14285713605442207
regretful,2,3,2,0.75,-0.44,-0.1428571224489825
empty,3,2,2,1.333,-0.202,0.1428571224489825
agree,1,2,4,0.667,0.361,-0.1428571224489825
care,1,2,4,0.667,0.494,-0.1428571224489825
hug,67,46,40,1.447,0.477,0.13725490106369345
friend,29,44,38,0.667,0.494,-0.1351351339177015
murderer,6,10,14,0.636,-0.681,-0.13333332888888902
ok,6,9,9,0.7,0.296,-0.12499999479166687
greets,7,4,13,1.6,0.153,0.12499999479166687
complaint,5,7,4,0.75,-0.296,-0.12499999218750048
frustrated,4,6,6,0.714,-0.527,-0.12499999218750048
important,5,7,4,0.75,0.202,-0.12499999218750048
incompetent,3,2,3,1.333,-0.477,0.12499998437500197
surprise,3,4,1,0.8,0.273,-0.12499998437500197
warning,2,3,3,0.75,-0.34,-0.12499998437500197
admitted,2,1,5,1.5,0.103,0.12499998437500197
angry,155,220,175,0.706,-0.511,-0.11818181796694215
considerate,5,7,5,0.75,0.44,-0.11764705190311459
leave,164,118,111,1.387,-0.052,0.11704834575814671
apologizes,87,63,64,1.375,0.361,0.11214953218621714
truth,36,50,40,0.725,0.318,-0.1111111102292769
trust,23,31,18,0.75,0.511,-0.11111110956790125
anxious,3,2,4,1.333,-0.25,0.11111109876543349
focused,1,2,6,0.667,0.382,-0.11111109876543349
sure,67,95,96,0.708,0.318,-0.10852713136229794
apologize,30,21,34,1.409,0.103,0.10588235169550175
protected,13,9,16,1.4,0.44,0.10526315512465383
trouble,48,65,49,0.742,-0.402,-0.10493827095717116
lose,32,24,23,1.32,-0.402,0.10126582150296429
impression,6,8,6,0.778,0.226,-0.09999999500000024
ignore,4,3,3,1.25,-0.361,0.09999999000000101
recommends,2,3,5,0.75,0.226,-0.09999999000000101
ready,48,63,42,0.766,0.361,-0.09803921504549533
protect,26,20,17,1.286,0.382,0.09523809372637947
happy,192,254,229,0.757,0.572,-0.09185185171577503
wrong,37,49,46,0.76,-0.477,-0.09090909022038568
trustworthy,12,9,12,1.3,0.557,0.09090908815427007
hard,5,3,14,1.5,-0.103,0.09090908677685969
nervous,23,18,17,1.263,-0.273,0.08620689506539836
party,14,18,15,0.789,0.402,-0.08510638116794934
compliment,8,11,17,0.75,0.477,-0.08333333101851859
