word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,gender_association_score
superior,0,30,0,0.032,0.542,-0.9999999666666678
suspected,19,0,0,20.0,-0.226,0.9999999473684238
lucky,0,14,0,0.067,0.422,-0.9999999285714337
honored,13,0,0,14.0,0.586,0.9999999230769291
demanded,9,0,0,10.0,-0.226,0.9999998888889013
suspects,8,0,0,9.0,-0.34,0.9999998750000157
dishonest,8,0,0,9.0,-0.572,0.9999998750000157
admires,7,0,0,8.0,0.361,0.9999998571428775
legal,6,0,0,7.0,0.128,0.9999998333333611
refused,6,0,0,7.0,-0.296,0.9999998333333611
lack,6,0,0,7.0,-0.318,0.9999998333333611
enjoyed,5,0,0,6.0,0.511,0.99999980000004
kill,3,30,0,0.129,-0.691,-0.8181817933884306
murderer,19,2,0,6.667,-0.681,0.8095237709750585
suspect,4,0,1,5.0,-0.296,0.799999840000032
heroic,1,12,2,0.154,0.557,-0.7333332844444478
careful,5,0,2,6.0,0.153,0.7142856122449125
succeed,0,5,2,0.167,0.494,-0.7142856122449125
faith,2,10,0,0.273,0.422,-0.6666666111111158
guilt,1,5,0,0.333,-0.273,-0.6666665555555741
boredom,4,16,0,0.294,-0.318,-0.5999999700000015
revenge,1,4,0,0.4,-0.527,-0.599999880000024
brave,1,4,0,0.4,0.527,-0.599999880000024
sins,1,4,0,0.4,-0.459,-0.599999880000024
respected,0,3,2,0.25,0.477,-0.599999880000024
welcome,34,8,2,3.889,0.459,0.5909090774793392
praise,2,9,1,0.3,0.557,-0.5833332847222263
loved,9,2,1,3.333,0.599,0.5833332847222263
beautiful,5,1,1,3.0,0.599,0.57142848979593
solve,4,14,0,0.333,0.202,-0.5555555246913597
lonely,1,4,1,0.4,-0.361,-0.49999991666668053
cuts,4,1,1,2.5,-0.296,0.49999991666668053
pray,19,7,0,2.5,0.318,0.4615384437869829
gun,4,1,2,2.5,-0.34,0.4285713673469475
drunk,9,23,1,0.417,-0.34,-0.42424241138659363
authority,14,50,28,0.294,0.077,-0.3913043435727789
number,25,66,15,0.388,0.077,-0.3867924491812033
illegal,6,14,1,0.467,-0.557,-0.38095236281179223
gains,2,5,1,0.5,0.34,-0.3749999531250059
friend,0,3,5,0.25,0.494,-0.3749999531250059
mad,11,4,4,2.4,-0.494,0.36842103324099823
loyalty,19,41,1,0.476,0.542,-0.360655731792529
gain,15,33,2,0.471,0.527,-0.35999999280000017
dissatisfied,5,10,0,0.545,-0.382,-0.3333333111111126
admire,3,6,0,0.571,0.477,-0.33333329629630043
fake,4,2,0,1.667,-0.477,0.33333327777778704
leak,3,1,2,2.0,-0.34,0.33333327777778704
nice,27,59,15,0.467,0.422,-0.3168316800313695
trust,13,5,8,2.333,0.511,0.30769229585798863
sorry,5,1,7,3.0,-0.077,0.3076922840236705
stop,14,45,42,0.326,-0.296,-0.3069306900303892
rejected,20,10,3,1.909,-0.511,0.30303029384756686
fine,5,2,3,2.0,0.202,0.299999970000003
frustrated,3,1,3,2.0,-0.527,0.285714244897965
selfish,1,3,3,0.5,-0.477,-0.285714244897965
convincing,1,3,3,0.5,0.402,-0.285714244897965
loyal,9,16,0,0.588,0.477,-0.27999998880000043
tired,69,33,29,2.059,-0.44,0.2748091582075637
death,7,4,0,1.6,-0.599,0.2727272479338866
rich,6,12,5,0.538,0.557,-0.2608695538752368
satisfied,181,314,25,0.578,0.422,-0.25576923027736687
ok,6,22,36,0.304,0.296,-0.24999999609375007
shy,2,6,8,0.429,-0.25,-0.24999998437500096
protected,5,2,5,2.0,0.44,0.2499999791666684
hates,5,3,0,1.5,-0.44,0.24999996875000394
mess,4,2,2,1.667,-0.361,0.24999996875000394
demand,3,6,4,0.571,-0.128,-0.23076921301775286
trustworthy,7,3,8,2.0,0.557,0.2222222098765439
injury,11,7,0,1.5,-0.422,0.2222222098765439
surprise,5,3,1,1.5,0.273,0.22222219753086697
love,5,3,1,1.5,0.637,0.22222219753086697
save,12,2,32,4.333,0.494,0.21739129962192827
angry,56,32,23,1.727,-0.511,0.2162162142683224
jealous,8,5,1,1.5,-0.459,0.21428569897959293
want,16,7,20,2.125,0.077,0.20930232071389954
dirty,20,33,12,0.618,-0.44,-0.199999996923077
useful,9,6,0,1.429,0.44,0.19999998666666757
fool,4,6,0,0.714,-0.44,-0.19999998000000202
ready,3,2,0,1.333,0.361,0.199999960000008
confidence,0,1,4,0.5,0.511,-0.199999960000008
poisoning,3,2,0,1.333,-0.586,0.199999960000008
shake,3,2,0,1.333,-0.178,0.199999960000008
argue,0,1,4,0.5,-0.34,-0.199999960000008
protect,2,1,2,1.5,0.382,0.199999960000008
confident,3,2,0,1.333,0.494,0.199999960000008
perfect,2,3,0,0.75,0.572,-0.199999960000008
penalty,3,2,0,1.333,-0.459,0.199999960000008
sure,14,37,70,0.395,0.318,-0.19008264305716824
