word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,gender_association_score
suspected,19,0,0,20.0,-0.226,0.9999999473684238
honored,13,0,0,14.0,0.586,0.9999999230769291
demanded,9,0,0,10.0,-0.226,0.9999998888889013
dishonest,8,0,0,9.0,-0.572,0.9999998750000157
suspects,8,0,0,9.0,-0.34,0.9999998750000157
admires,7,0,0,8.0,0.361,0.9999998571428775
lack,6,0,0,7.0,-0.318,0.9999998333333611
legal,6,0,0,7.0,0.128,0.9999998333333611
refused,6,0,0,7.0,-0.296,0.9999998333333611
enjoyed,5,0,0,6.0,0.511,0.99999980000004
murderer,19,2,0,6.667,-0.681,0.8095237709750585
suspect,4,0,1,5.0,-0.296,0.799999840000032
careful,5,0,2,6.0,0.153,0.7142856122449125
welcome,34,8,2,3.889,0.459,0.5909090774793392
loved,9,2,1,3.333,0.599,0.5833332847222263
save,12,2,32,4.333,0.494,0.21739129962192827
free,17,4,49,3.6,0.511,0.18571428306122453
