word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,gender_association_score
superior,0,30,0,0.032,0.542,-0.9999999666666678
lucky,0,14,0,0.067,0.422,-0.9999999285714337
kill,3,30,0,0.129,-0.691,-0.8181817933884306
heroic,1,12,2,0.154,0.557,-0.7333332844444478
succeed,0,5,2,0.167,0.494,-0.7142856122449125
faith,2,10,0,0.273,0.422,-0.6666666111111158
boredom,4,16,0,0.294,-0.318,-0.5999999700000015
respected,0,3,2,0.25,0.477,-0.599999880000024
praise,2,9,1,0.3,0.557,-0.5833332847222263
authority,14,50,28,0.294,0.077,-0.3913043435727789
friend,0,3,5,0.25,0.494,-0.3749999531250059
stop,14,45,42,0.326,-0.296,-0.3069306900303892
ok,6,22,36,0.304,0.296,-0.24999999609375007
successful,10,42,134,0.256,0.586,-0.17204300982772575
