word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,gender_association_score
superior,0,30,0,0.032,0.542,-0.9999999666666678
lucky,0,14,0,0.067,0.422,-0.9999999285714337
honored,13,0,0,14.0,0.586,0.9999999230769291
suspects,8,0,0,9.0,-0.34,0.9999998750000157
lack,6,0,0,7.0,-0.318,0.9999998333333611
succeed,0,5,0,0.167,0.494,-0.99999980000004
heroic,1,12,2,0.154,0.557,-0.7333332844444478
kill,3,30,5,0.129,-0.691,-0.7105262970914132
demanded,9,0,4,10.0,-0.226,0.6923076390532585
legal,6,0,3,7.0,0.128,0.6666665925926009
created,4,0,2,5.0,0.25,0.6666665555555741
boredom,4,16,0,0.294,-0.318,-0.5999999700000015
refused,6,0,4,7.0,-0.296,0.599999940000006
lonely,1,4,0,0.4,-0.361,-0.599999880000024
sins,1,4,0,0.4,-0.459,-0.599999880000024
respected,0,3,2,0.25,0.477,-0.599999880000024
loved,9,2,1,3.333,0.599,0.5833332847222263
guilt,1,5,1,0.333,-0.273,-0.57142848979593
admires,7,0,6,8.0,0.361,0.5384614970414233
faith,2,10,3,0.273,0.422,-0.5333332977777802
suspected,19,0,18,20.0,-0.226,0.5135134996347703
save,12,2,6,4.333,0.494,0.4999999750000012
dishonest,8,0,8,9.0,-0.572,0.4999999687500019
enjoyed,5,0,5,6.0,0.511,0.499999950000005
gun,4,1,1,2.5,-0.34,0.49999991666668053
successful,10,42,16,0.256,0.586,-0.47058822837370257
welcome,34,8,15,3.889,0.459,0.4561403428747308
careful,5,0,6,6.0,0.153,0.4545454132231443
straight,0,4,5,0.2,0.226,-0.44444439506173394
murderer,19,2,18,6.667,-0.681,0.4358974247205789
authority,14,50,19,0.294,0.077,-0.4337349345333141
brave,1,4,2,0.4,0.527,-0.4285713673469475
solve,4,14,6,0.333,0.202,-0.41666664930555625
free,17,4,11,3.6,0.511,0.4062499873046879
lawsuit,2,0,3,3.0,-0.226,0.399999920000016
frustrated,3,1,1,2.0,-0.527,0.399999920000016
invite,1,3,1,0.5,0.153,-0.399999920000016
impression,2,0,3,3.0,0.226,0.399999920000016
liked,2,0,3,3.0,0.422,0.399999920000016
convincing,1,3,1,0.5,0.402,-0.399999920000016
hated,2,0,3,3.0,-0.637,0.399999920000016
irrational,0,2,3,0.333,-0.34,-0.399999920000016
