word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,gender_association_score
honored,13,0,0,14.0,0.586,0.9999999230769291
suspects,8,0,0,9.0,-0.34,0.9999998750000157
lack,6,0,0,7.0,-0.318,0.9999998333333611
demanded,9,0,4,10.0,-0.226,0.6923076390532585
legal,6,0,3,7.0,0.128,0.6666665925926009
created,4,0,2,5.0,0.25,0.6666665555555741
refused,6,0,4,7.0,-0.296,0.599999940000006
loved,9,2,1,3.333,0.599,0.5833332847222263
admires,7,0,6,8.0,0.361,0.5384614970414233
suspected,19,0,18,20.0,-0.226,0.5135134996347703
save,12,2,6,4.333,0.494,0.4999999750000012
dishonest,8,0,8,9.0,-0.572,0.4999999687500019
enjoyed,5,0,5,6.0,0.511,0.499999950000005
welcome,34,8,15,3.889,0.459,0.4561403428747308
careful,5,0,6,6.0,0.153,0.4545454132231443
murderer,19,2,18,6.667,-0.681,0.4358974247205789
free,17,4,11,3.6,0.511,0.4062499873046879
accepted,3,0,9,4.0,0.273,0.2499999791666684
