word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,gender_association_score
superior,0,30,0,0.032,0.542,-0.9999999666666678
lucky,0,14,0,0.067,0.422,-0.9999999285714337
succeed,0,5,0,0.167,0.494,-0.99999980000004
heroic,1,12,2,0.154,0.557,-0.7333332844444478
kill,3,30,5,0.129,-0.691,-0.7105262970914132
boredom,4,16,0,0.294,-0.318,-0.5999999700000015
respected,0,3,2,0.25,0.477,-0.599999880000024
faith,2,10,3,0.273,0.422,-0.5333332977777802
successful,10,42,16,0.256,0.586,-0.47058822837370257
straight,0,4,5,0.2,0.226,-0.44444439506173394
authority,14,50,19,0.294,0.077,-0.4337349345333141
praise,2,9,7,0.3,0.557,-0.3888888672839518
ok,6,22,14,0.304,0.296,-0.3809523718820864
stop,14,45,51,0.326,-0.296,-0.2818181792561984
friend,0,3,16,0.25,0.494,-0.15789472853185638
