Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] argued with the designer AtLocation [GEN],fashion show,garage,designer's office,0.282,0.422,0.308
[Name] argued with the designer CapableOf [GEN],object to design,change design,argue,0.585,0.126,0.172
[Name] argued with the designer Causes [GEN],argument,argument,to get a refund,1.0,0.186,0.186
[Name] argued with the designer CausesDesire [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer CreatedBy [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer DefinedAs [GEN],design,design,to get their point across,1.0,0.216,0.216
[Name] argued with the designer DesireOf [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer Desires [GEN],the design to be successful,to get rid of him,to make a point,0.124,0.278,0.482
[Name] argued with the designer HasA [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer HasFirstSubevent [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer HasLastSubevent [GEN],design,design,to get their point across,1.0,0.216,0.216
[Name] argued with the designer HasPainCharacter [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer HasPainIntensity [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer HasPrerequisite [GEN],design,design,to win,1.0,0.31,0.31
[Name] argued with the designer HasProperty [GEN],confused,mean,confused,0.369,1.0,0.369
[Name] argued with the designer HasSubEvent [GEN],gets yelled at,get yelled at,gets yelled at,0.891,1.0,0.891
[Name] argued with the designer HasSubevent [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer HinderedBy [GEN],PersonX is in a coma.,PersonX doesn't know how to argue.,PersonX doesn't know how to argue.,0.506,0.506,1.0
[Name] argued with the designer InheritsFrom [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer InstanceOf [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer IsA [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer LocatedNear [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer LocationOfAction [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer MadeOf [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer MadeUpOf [GEN],design,designer,argument,0.679,0.316,0.2
[Name] argued with the designer MotivatedByGoal [GEN],design,design,to go home,1.0,0.191,0.191
[Name] argued with the designer NotCapableOf [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer NotDesires [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer NotHasA [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer NotHasProperty [GEN],designer,design,to get a refund,0.679,0.148,0.179
[Name] argued with the designer NotIsA [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer NotMadeOf [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer ObjectUse [GEN],change the design,change the design,to get a refund,1.0,0.077,0.077
[Name] argued with the designer PartOf [GEN],design,design,to get a refund,1.0,0.179,0.179
[Name] argued with the designer ReceivesAction [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer RelatedTo [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer SymbolOf [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer UsedFor [GEN],design,design,to win the argument,1.0,0.221,0.221
[Name] argued with the designer isAfter [GEN],PersonX goes to the store,PersonX goes to the store,PersonX sees a design,1.0,0.598,0.598
[Name] argued with the designer isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,1.0,1.0,1.0
[Name] argued with the designer isFilledBy [GEN],designer,designer,designer,1.0,1.0,1.0
[Name] argued with the designer oEffect [GEN],gets yelled at,gets yelled at,the designer gets fired,1.0,0.267,0.267
[Name] argued with the designer oReact [GEN],confused,disappointed,confused,0.434,1.0,0.434
[Name] argued with the designer oWant [GEN],to see what they did,to see if they understand,to make a decision,0.686,0.484,0.475
[Name] argued with the designer xAttr [GEN],argumentative,mean,argumentative,0.257,1.0,0.257
[Name] argued with the designer xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] argued with the designer xIntent [GEN],to be heard,to show his opinion,to make a point,0.384,0.384,0.516
