word,female_count,male_count,PersonX_count,f_m_ratio,sentiment
successful,10,42,134,0.256,0.586
brave,1,4,0,0.4,0.527
apologizes,2,4,6,0.6,0.361
funny,7,6,7,1.143,0.44
suspect,4,0,1,5.0,-0.296
careful,5,0,2,6.0,0.153
clean,171,205,307,0.835,0.402
punishment,6,9,1,0.7,-0.494
loved,9,2,1,3.333,0.599
timid,8,5,16,1.5,-0.25
fun,36,30,60,1.194,0.511
guilty,22,24,27,0.92,-0.422
faith,2,10,0,0.273,0.422
truth,6,8,24,0.778,0.318
fit,6,8,4,0.778,0.361
argue,0,1,4,0.5,-0.34
thank,165,163,580,1.012,0.361
smart,19,21,15,0.909,0.402
needy,8,5,10,1.5,-0.34
encourage,0,1,5,0.5,0.511
hates,5,3,0,1.5,-0.44
freeway,3,3,0,1.0,0.052
thanks,34,30,44,1.129,0.44
alone,14,15,114,0.938,-0.25
healthy,13,26,37,0.519,0.402
perfectionist,5,5,4,1.0,0.361
lucky,0,14,0,0.067,0.422
sorry,5,1,7,3.0,-0.077
intelligent,2,3,1,0.75,0.459
wrong,8,10,22,0.818,-0.477
rejected,20,10,3,1.909,-0.511
protected,5,2,5,2.0,0.44
powerful,14,23,22,0.625,0.422
injury,11,7,0,1.5,-0.422
helpful,294,343,743,0.858,0.422
save,12,2,32,4.333,0.494
lack,6,0,0,7.0,-0.318
enjoyed,5,0,0,6.0,0.511
number,25,66,15,0.388,0.077
dirty,20,33,12,0.618,-0.44
boredom,4,16,0,0.294,-0.318
apologize,27,31,337,0.875,0.103
convince,9,5,62,1.667,0.25
cleaner,118,161,224,0.735,0.178
desperate,105,104,4,1.01,-0.318
determined,39,37,4,1.053,0.34
cry,11,5,18,2.0,-0.477
perfect,2,3,0,0.75,0.572
admires,7,0,0,8.0,0.361
problem,19,22,71,0.87,-0.402
sick,93,81,37,1.146,-0.511
ok,6,22,36,0.304,0.296
complain,22,9,85,2.3,-0.361
scared,16,15,11,1.062,-0.44
creative,9,6,9,1.429,0.44
murderer,19,2,0,6.667,-0.681
truthful,1,1,7,1.0,0.459
drunk,9,23,1,0.417,-0.34
congratulate,1,0,23,2.0,0.494
rich,6,12,5,0.538,0.557
hard,7,11,30,0.667,-0.103
