,Event Relation,Female Inference,Male Inference,PersonX Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,PersonX Sentiment: Negative,PersonX Sentiment: Neutral,PersonX Sentiment: Positive,PersonX Sentiment: Compound,Unisex Inference,Unisex Sentiment: Compound,Unisex Sentiment: Positive,Unisex Sentiment: Negative,Unisex Sentiment: Neutral
0,[Name] argued with the designer AtLocation [GEN],fashion show,garage,designer's office,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,store,0.0,0.0,0.0,1.0
1,[Name] argued with the designer CapableOf [GEN],object to design,change design,argue,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.34,design,0.0,0.0,0.0,1.0
2,[Name] argued with the designer Causes [GEN],argument,argument,to get a refund,1.0,0.0,0.0,-0.361,1.0,0.0,0.0,-0.361,0.0,1.0,0.0,0.0,argument,-0.361,0.0,1.0,0.0
3,[Name] argued with the designer CausesDesire [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,designer,0.0,0.0,0.0,1.0
4,[Name] argued with the designer CreatedBy [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,design,0.0,0.0,0.0,1.0
5,[Name] argued with the designer DefinedAs [GEN],design,design,to get their point across,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,designer,0.0,0.0,0.0,1.0
6,[Name] argued with the designer DesireOf [GEN],design,design,to win the argument,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.301,0.241,0.458,0.318,designer,0.0,0.0,0.0,1.0
7,[Name] argued with the designer Desires [GEN],the design to be successful,to get rid of him,to make a point,0.0,0.513,0.487,0.586,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,to be heard,0.0,0.0,0.0,1.0
8,[Name] argued with the designer HasA [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,design,0.0,0.0,0.0,1.0
9,[Name] argued with the designer HasFirstSubevent [GEN],design,design,to get a refund,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,designer,0.0,0.0,0.0,1.0
