Event Relation,Female Inference,Male Inference,Unisex Inference,Female-Male Similarity,Female-Unisex Similarity,Male-Unisex Similarity
[Name] argued with the designer AtLocation [GEN],fashion show,garage,store,0.282,0.278,0.384
[Name] argued with the designer CapableOf [GEN],object to design,change design,design,0.585,0.688,0.738
[Name] argued with the designer Causes [GEN],argument,argument,argument,1.0,1.0,1.0
[Name] argued with the designer CausesDesire [GEN],design,design,designer,1.0,0.679,0.679
[Name] argued with the designer CreatedBy [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer DefinedAs [GEN],design,design,designer,1.0,0.679,0.679
[Name] argued with the designer DesireOf [GEN],design,design,designer,1.0,0.679,0.679
[Name] argued with the designer Desires [GEN],the design to be successful,to get rid of him,to be heard,0.124,0.26,0.322
[Name] argued with the designer HasA [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer HasFirstSubevent [GEN],design,design,designer,1.0,0.679,0.679
[Name] argued with the designer HasLastSubevent [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer HasPainCharacter [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer HasPainIntensity [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer HasPrerequisite [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer HasProperty [GEN],confused,mean,confused,0.369,1.0,0.369
[Name] argued with the designer HasSubEvent [GEN],gets yelled at,get yelled at,get yelled at,0.891,0.891,1.0
[Name] argued with the designer HasSubevent [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer HinderedBy [GEN],PersonX is in a coma.,PersonX doesn't know how to argue.,PersonX doesn't know what to say.,0.506,0.588,0.793
[Name] argued with the designer InheritsFrom [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer InstanceOf [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer IsA [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer LocatedNear [GEN],design,design,designer,1.0,0.679,0.679
[Name] argued with the designer LocationOfAction [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer MadeOf [GEN],design,design,design,1.0,1.0,1.0
[Name] argued with the designer MadeUpOf [GEN],design,designer,design,0.679,1.0,0.679
