word,female_count,male_count,Unisex_count,f_m_ratio,sentiment
smiles,158,144,143,1.097,0.477
useful,9,6,3,1.429,0.44
murderer,19,2,18,6.667,-0.681
celebrated,2,0,3,3.0,0.572
legal,6,0,3,7.0,0.128
curious,56,46,44,1.213,0.318
fool,4,6,3,0.714,-0.44
cry,11,5,9,2.0,-0.477
respected,0,3,2,0.25,0.477
created,4,0,2,5.0,0.25
likes,9,8,8,1.111,0.422
liked,2,0,3,3.0,0.422
inquisitive,17,16,46,1.059,0.178
generous,31,18,25,1.684,0.511
fails,4,4,6,1.0,-0.422
save,12,2,6,4.333,0.494
sick,93,81,92,1.146,-0.511
error,2,2,2,1.0,-0.402
lost,5,4,0,1.2,-0.318
guilty,22,24,21,0.92,-0.422
loved,9,2,1,3.333,0.599
joke,2,2,2,1.0,0.296
heroic,1,12,2,0.154,0.557
truth,6,8,8,0.778,0.318
confused,68,63,61,1.078,-0.318
rich,6,12,6,0.538,0.557
refused,6,0,4,7.0,-0.296
friendship,2,1,3,1.5,0.44
nervous,202,176,179,1.147,-0.273
cut,277,241,262,1.149,-0.273
shake,3,2,3,1.333,-0.178
win,8,8,11,1.0,0.586
hard,7,11,6,0.667,-0.103
impressed,4,6,5,0.714,0.477
solve,4,14,6,0.333,0.202
lack,6,0,0,7.0,-0.318
timid,8,5,10,1.5,-0.25
trustworthy,7,3,6,2.0,0.557
frustration,3,3,3,1.0,-0.477
sore,8,11,9,0.75,-0.361
irrational,0,2,3,0.333,-0.34
laugh,11,8,8,1.333,0.557
determined,39,37,57,1.053,0.34
losing,2,1,5,1.5,-0.382
pray,19,7,11,2.5,0.318
trust,13,5,13,2.333,0.511
demand,3,6,7,0.571,-0.128
shy,2,6,4,0.429,-0.25
pay,58,47,59,1.229,-0.103
stops,5,2,2,2.0,-0.153
stop,14,45,51,0.326,-0.296
injury,11,7,10,1.5,-0.422
stupid,2,2,2,1.0,-0.527
empathetic,2,2,1,1.0,0.402
friends,8,4,6,1.8,0.477
accepted,3,0,9,4.0,0.273
honored,13,0,0,14.0,0.586
nice,27,59,42,0.467,0.422
gain,15,33,49,0.471,0.527
perfectionist,5,5,5,1.0,0.361
scare,2,1,4,1.5,-0.494
happiness,1,1,3,1.0,0.557
hopeful,5,6,3,0.857,0.511
trusted,1,4,6,0.4,0.477
funny,7,6,6,1.143,0.44
creates,0,0,5,1.0,0.273
cautious,5,4,5,1.2,-0.103
smart,19,21,15,0.909,0.402
bad,96,114,99,0.843,-0.542
convincing,1,3,1,0.5,0.402
straight,0,4,5,0.2,0.226
proud,9,7,3,1.25,0.477
smile,25,19,44,1.3,0.361
forced,2,0,3,3.0,-0.459
worried,41,37,46,1.105,-0.296
appreciative,0,0,22,1.0,0.557
fraud,0,1,5,0.5,-0.586
fire,4,1,35,2.5,-0.34
argument,1,2,2,0.667,-0.361
appreciation,6,9,13,0.7,0.511
racist,1,1,3,1.0,-0.612
cheat,3,1,3,2.0,-0.459
superior,0,30,0,0.032,0.542
accomplished,50,52,45,0.962,0.44
clean,171,205,219,0.835,0.402
helpful,294,343,287,0.858,0.422
lucky,0,14,0,0.067,0.422
needy,8,5,7,1.5,-0.34
selfish,1,3,2,0.5,-0.477
convince,9,5,7,1.667,0.25
pain,2,2,2,1.0,-0.511
important,40,51,18,0.788,0.202
mad,11,4,8,2.4,-0.494
sad,24,32,46,0.758,-0.477
lower,1,3,3,0.5,-0.296
fan,2,2,3,1.0,0.318
prepared,4,2,6,1.667,0.226
hates,5,3,4,1.5,-0.44
dishonest,8,0,8,9.0,-0.572
help,105,82,84,1.277,0.402
mess,4,2,1,1.667,-0.361
like,3,4,2,0.8,0.361
ashamed,2,2,1,1.0,-0.477
death,7,4,6,1.6,-0.599
freeway,3,3,3,1.0,0.052
