word,female_count,male_count,Unisex_count,f_m_ratio,sentiment
murderer,19,2,18,6.667,-0.681
legal,6,0,3,7.0,0.128
created,4,0,2,5.0,0.25
save,12,2,6,4.333,0.494
loved,9,2,1,3.333,0.599
refused,6,0,4,7.0,-0.296
lack,6,0,0,7.0,-0.318
accepted,3,0,9,4.0,0.273
honored,13,0,0,14.0,0.586
dishonest,8,0,8,9.0,-0.572
free,17,4,11,3.6,0.511
enjoyed,5,0,5,6.0,0.511
suspected,19,0,18,20.0,-0.226
welcome,34,8,15,3.889,0.459
suspects,8,0,0,9.0,-0.34
admires,7,0,6,8.0,0.361
demanded,9,0,4,10.0,-0.226
careful,5,0,6,6.0,0.153
