Event Relation,Female Inference,Male Inference,Unisex Inference,Female Sentiment: Negative,Female Sentiment: Neutral,Female Sentiment: Positive,Female Sentiment: Compound,Male Sentiment: Negative,Male Sentiment: Neutral,Male Sentiment: Positive,Male Sentiment: Compound,Unisex Sentiment: Negative,Unisex Sentiment: Neutral,Unisex Sentiment: Positive,Unisex Sentiment: Compound
[Name] argued with the designer AtLocation [GEN],fashion show,garage,store,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer CapableOf [GEN],object to design,change design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer Causes [GEN],argument,argument,argument,1.0,0.0,0.0,-0.361,1.0,0.0,0.0,-0.361,1.0,0.0,0.0,-0.361
[Name] argued with the designer CausesDesire [GEN],design,design,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer CreatedBy [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer DefinedAs [GEN],design,design,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer DesireOf [GEN],design,design,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer Desires [GEN],the design to be successful,to get rid of him,to be heard,0.0,0.513,0.487,0.586,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasA [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasFirstSubevent [GEN],design,design,designer,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasLastSubevent [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasPainCharacter [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasPainIntensity [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasPrerequisite [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasProperty [GEN],confused,mean,confused,1.0,0.0,0.0,-0.318,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.318
[Name] argued with the designer HasSubEvent [GEN],gets yelled at,get yelled at,get yelled at,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HasSubevent [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer HinderedBy [GEN],PersonX is in a coma.,PersonX doesn't know how to argue.,PersonX doesn't know what to say.,0.0,1.0,0.0,0.0,0.324,0.676,0.0,-0.34,0.0,1.0,0.0,0.0
[Name] argued with the designer InheritsFrom [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
[Name] argued with the designer InstanceOf [GEN],design,design,design,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
