word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,polarization
perfect,4,26,0,0.185,0.572,22000000.0
grace,17,0,0,18.0,0.422,17000000.0
refused,11,0,0,12.0,-0.296,11000000.0
succeed,23,14,0,1.6,0.494,9000000.0
missing,1,9,0,0.2,-0.296,8000000.0
detention,8,1,0,4.5,-0.361,7000000.0
uncomfortable,7,0,0,8.0,-0.382,7000000.0
calm,12,5,0,2.167,0.318,7000000.0
punished,0,6,0,0.143,-0.459,6000000.0
murdered,11,5,0,2.0,-0.66,6000000.0
impressed,6,1,0,3.5,0.477,5000000.0
guilt,5,0,0,6.0,-0.273,5000000.0
agrees,2,6,0,0.429,0.202,4000000.0
fear,3,7,0,0.5,-0.494,4000000.0
helping,6,2,0,2.333,0.296,4000000.0
attractive,7,4,0,1.6,0.44,3000000.0
legal,1,4,0,0.4,0.128,3000000.0
rejected,2,5,0,0.5,-0.511,3000000.0
jerk,2,5,0,0.5,-0.34,3000000.0
forget,2,4,0,0.6,-0.226,2000000.0
stolen,2,4,0,0.6,-0.494,2000000.0
recommends,2,3,0,0.75,0.226,1000000.0
allow,3,2,0,1.333,0.226,1000000.0
accept,2,3,0,0.75,0.382,1000000.0
empty,3,2,0,1.333,-0.202,1000000.0
lose,32,24,1,1.32,-0.402,7.9999920000080005
assault,5,11,1,0.5,-0.586,5.999994000006001
hug,67,46,4,1.447,0.477,5.2499986875003275
promoted,3,8,1,0.444,0.422,4.999995000005001
bonus,1,6,1,0.286,0.542,4.999995000005001
complaining,5,0,1,6.0,-0.202,4.999995000005001
stops,9,1,2,5.0,-0.153,3.999998000001
successful,8,4,1,1.8,0.586,3.9999960000040002
revenge,1,5,1,0.333,-0.527,3.9999960000040002
reward,6,10,1,0.636,0.572,3.9999960000040002
fooled,3,7,1,0.5,-0.382,3.9999960000040002
ready,48,63,5,0.766,0.361,2.99999940000012
smart,1,4,1,0.4,0.402,2.9999970000030003
cared,5,8,1,0.667,0.422,2.9999970000030003
lying,7,4,1,1.6,-0.527,2.9999970000030003
interested,4,7,1,0.625,0.402,2.9999970000030003
trustworthy,12,9,1,1.3,0.557,2.9999970000030003
pray,12,2,4,4.333,0.318,2.499999375000156
mistakes,1,6,2,0.286,-0.361,2.499998750000625
murderer,6,10,2,0.636,-0.681,1.9999990000005
honest,25,44,12,0.578,0.511,1.5833332013888999
compliments,0,12,8,0.077,0.402,1.4999998125000236
healthy,10,19,6,0.55,0.402,1.4999997500000417
determined,7,3,3,2.0,0.34,1.333332888889037
friends,0,5,4,0.167,0.477,1.249999687500078
fun,9,4,4,2.0,0.511,1.249999687500078
laugh,13,6,6,2.0,0.557,1.1666664722222546
leave,164,118,40,1.387,-0.052,1.1499999712500009
pain,3,11,7,0.333,-0.511,1.14285697959186
well,22,33,11,0.676,0.273,0.9999999090909174
likes,61,52,9,1.17,0.422,0.9999998888889013
excited,5,1,4,3.0,0.34,0.9999997500000625
protected,13,9,4,1.4,0.44,0.9999997500000625
worthless,19,22,3,0.87,-0.44,0.9999996666667778
considerate,5,7,2,0.75,0.44,0.99999950000025
refuse,3,1,2,2.0,-0.296,0.99999950000025
forgetful,4,2,2,1.667,-0.273,0.99999950000025
incompetent,3,2,1,1.333,-0.477,0.9999990000010001
regretful,2,3,1,0.75,-0.44,0.9999990000010001
treat,3,2,1,1.333,0.402,0.9999990000010001
protect,26,20,7,1.286,0.382,0.857142734693895
broke,20,7,17,2.625,-0.422,0.7647058373702448
fraud,5,0,7,6.0,-0.586,0.7142856122449125
impression,6,8,3,0.778,0.226,0.6666664444445185
sociable,2,0,3,3.0,0.44,0.6666664444445185
frustrated,4,6,3,0.714,-0.527,0.6666664444445185
hard,5,3,3,1.5,-0.103,0.6666664444445185
cuts,42,40,3,1.049,-0.296,0.6666664444445185
number,7,16,14,0.471,0.077,0.6428570969387788
profit,13,8,8,1.556,0.44,0.6249999218750099
better,233,194,65,1.2,0.44,0.5999999907692309
greets,7,4,5,1.6,0.153,0.599999880000024
compliment,8,11,5,0.75,0.477,0.599999880000024
fired,316,249,112,1.268,-0.557,0.5982142803730868
appreciation,3,8,9,0.444,0.511,0.5555554938271674
apologize,30,21,17,1.409,0.103,0.5294117335640156
complain,0,5,10,0.167,-0.361,0.499999950000005
criminal,1,3,4,0.5,-0.527,0.49999987500003124
funny,2,4,4,0.6,0.44,0.49999987500003124
agree,1,2,2,0.667,0.361,0.499999750000125
fool,3,4,2,0.8,-0.44,0.499999750000125
creative,10,16,13,0.647,0.44,0.4615384260355057
anger,2,6,9,0.429,-0.572,0.44444439506173394
win,13,22,21,0.609,0.586,0.4285714081632663
apologizes,87,63,57,1.375,0.361,0.42105262419205924
escape,2,4,5,0.6,0.178,0.399999920000016
happy,192,254,162,0.757,0.572,0.38271604702027134
grateful,96,82,38,1.169,0.459,0.36842104293628836
sure,67,95,81,0.708,0.318,0.345679008078037
hurt,17,13,12,1.286,-0.527,0.3333333055555579
fire,2,4,6,0.6,-0.34,0.33333327777778704
complaint,5,7,6,0.75,-0.296,0.33333327777778704
warning,2,3,3,0.75,-0.34,0.33333322222225925
surprise,3,4,3,0.8,0.273,0.33333322222225925
anxious,3,2,3,1.333,-0.25,0.33333322222225925
apology,4,5,3,0.833,0.052,0.33333322222225925
trouble,48,65,54,0.742,-0.402,0.31481480898491093
trust,23,31,26,0.75,0.511,0.30769229585798863
missed,3,6,10,0.571,-0.296,0.299999970000003
ok,6,9,10,0.7,0.296,0.299999970000003
avoid,37,45,27,0.826,-0.296,0.2962962853223598
liar,53,49,14,1.08,-0.511,0.2857142653061239
scared,13,11,7,1.167,-0.44,0.285714244897965
injured,9,11,7,0.833,-0.402,0.285714244897965
vindicated,4,2,7,1.667,0.422,0.285714244897965
friend,29,44,53,0.667,0.494,0.2830188625845498
clean,594,644,192,0.922,0.402,0.26041666531032986
prepared,16,14,8,1.133,0.226,0.24999996875000394
complimented,18,16,8,1.118,0.422,0.24999996875000394
ignore,4,3,4,1.25,-0.361,0.24999993750001562
rich,4,5,4,0.833,0.557,0.24999993750001562
greet,6,7,4,0.875,0.318,0.24999993750001562
greeted,2,1,4,1.5,0.273,0.24999993750001562
unkind,6,7,4,0.875,-0.382,0.24999993750001562
care,1,2,4,0.667,0.494,0.24999993750001562
wrong,37,49,49,0.76,-0.477,0.24489795418575605
relieved,37,30,29,1.226,0.382,0.24137930202140337
wins,4,14,42,0.333,0.572,0.238095232426304
nervous,23,18,21,1.263,-0.273,0.23809522675737013
cut,175,140,151,1.248,-0.273,0.2317880779351783
arrested,103,97,26,1.061,-0.477,0.23076922189349144
worried,7,13,27,0.571,-0.296,0.22222221399176983
truth,36,50,65,0.725,0.318,0.21538461207100598
okay,11,14,14,0.8,0.226,0.21428569897959293
bad,46,58,60,0.797,-0.542,0.19999999666666674
best,6,3,15,1.75,0.637,0.19999998666666757
dirty,4,6,10,0.714,-0.44,0.19999998000000202
beautiful,1,0,5,2.0,0.599,0.199999960000008
confused,7,8,5,0.889,-0.318,0.199999960000008
novel,7,6,5,1.143,0.318,0.199999960000008
