word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,polarization
perfect,4,26,0,0.185,0.572,22000000.0
missing,1,9,0,0.2,-0.296,8000000.0
punished,0,6,0,0.143,-0.459,6000000.0
bonus,1,6,1,0.286,0.542,4.999995000005001
mistakes,1,6,2,0.286,-0.361,2.499998750000625
compliments,0,12,8,0.077,0.402,1.4999998125000236
friends,0,5,4,0.167,0.477,1.249999687500078
complain,0,5,10,0.167,-0.361,0.499999950000005
authority,1,7,33,0.25,0.077,0.18181817630854014
loses,0,4,25,0.2,-0.318,0.15999999360000025
lost,1,9,68,0.2,-0.318,0.11764705709342564
