word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,polarization
grace,17,0,0,18.0,0.422,17000000.0
refused,11,0,0,12.0,-0.296,11000000.0
uncomfortable,7,0,0,8.0,-0.382,7000000.0
guilt,5,0,0,6.0,-0.273,5000000.0
mistakes,1,6,0,0.286,-0.361,5000000.0
excited,5,1,0,3.0,0.34,4000000.0
complaining,5,0,1,6.0,-0.202,4.999995000005001
loses,0,4,1,0.2,-0.318,3.9999960000040002
pray,12,2,3,4.333,0.318,3.3333322222225923
authority,1,7,2,0.25,0.077,2.99999850000075
fraud,5,0,2,6.0,-0.586,2.499998750000625
friends,0,5,2,0.167,0.477,2.499998750000625
detention,8,1,3,4.5,-0.361,2.3333325555558146
perfect,4,26,10,0.185,0.572,2.199999780000022
stops,9,1,4,5.0,-0.153,1.999999500000125
fear,3,7,2,0.5,-0.494,1.9999990000005
refuse,3,1,1,2.0,-0.296,1.9999980000020001
forget,2,4,1,0.6,-0.226,1.9999980000020001
fire,2,4,1,0.6,-0.34,1.9999980000020001
apologized,1,3,1,0.5,0.318,1.9999980000020001
laugh,13,6,4,2.0,0.557,1.7499995625001092
bonus,1,6,3,0.286,0.542,1.6666661111112961
rejected,2,5,2,0.5,-0.511,1.499999250000375
argument,2,5,2,0.5,-0.361,1.499999250000375
helping,6,2,3,2.333,0.296,1.333332888889037
revenge,1,5,3,0.333,-0.527,1.333332888889037
determined,7,3,3,2.0,0.34,1.333332888889037
fun,9,4,4,2.0,0.511,1.249999687500078
impressed,6,1,4,3.5,0.477,1.249999687500078
complain,0,5,4,0.167,-0.361,1.249999687500078
calm,12,5,6,2.167,0.318,1.1666664722222546
missing,1,9,7,0.2,-0.296,1.14285697959186
wins,4,14,9,0.333,0.572,1.1111109876543348
lost,1,9,8,0.2,-0.318,0.9999998750000157
agrees,2,6,4,0.429,0.202,0.9999997500000625
smart,1,4,3,0.4,0.402,0.9999996666667778
missed,3,6,3,0.571,-0.296,0.9999996666667778
escape,2,4,2,0.6,0.178,0.99999950000025
broken,4,6,2,0.714,-0.477,0.99999950000025
stolen,2,4,2,0.6,-0.494,0.99999950000025
funny,2,4,2,0.6,0.44,0.99999950000025
forgetful,4,2,2,1.667,-0.273,0.99999950000025
allow,3,2,1,1.333,0.226,0.9999990000010001
accept,2,3,1,0.75,0.382,0.9999990000010001
treat,3,2,1,1.333,0.402,0.9999990000010001
surprise,3,4,1,0.8,0.273,0.9999990000010001
healthy,10,19,10,0.55,0.402,0.8999999100000091
pain,3,11,9,0.333,-0.511,0.8888887901234679
murdered,11,5,7,2.0,-0.66,0.857142734693895
broke,20,7,16,2.625,-0.422,0.8124999492187531
compliments,0,12,15,0.077,0.402,0.7999999466666703
sick,5,9,5,0.6,-0.511,0.799999840000032
number,7,16,12,0.471,0.077,0.7499999375000053
succeed,23,14,12,1.6,0.494,0.7499999375000053
assault,5,11,8,0.5,-0.586,0.7499999062500118
best,6,3,4,1.75,0.637,0.7499998125000469
attractive,7,4,4,1.6,0.44,0.7499998125000469
appreciation,3,8,7,0.444,0.511,0.7142856122449125
lawsuit,2,4,3,0.6,-0.226,0.6666664444445185
dirty,4,6,3,0.714,-0.44,0.6666664444445185
lied,3,5,3,0.667,-0.382,0.6666664444445185
worried,7,13,10,0.571,-0.296,0.599999940000006
jerk,2,5,5,0.5,-0.34,0.599999880000024
interested,4,7,5,0.625,0.402,0.599999880000024
cared,5,8,5,0.667,0.422,0.599999880000024
unhappy,3,6,5,0.571,-0.422,0.599999880000024
fooled,3,7,7,0.5,-0.382,0.57142848979593
profit,13,8,9,1.556,0.44,0.5555554938271674
promoted,3,8,9,0.444,0.422,0.5555554938271674
tired,6,17,20,0.389,-0.44,0.5499999725000013
win,13,22,17,0.609,0.586,0.5294117335640156
hug,67,46,40,1.447,0.477,0.5249999868750004
well,22,33,21,0.676,0.273,0.5238094988662143
cheating,16,29,26,0.567,-0.557,0.49999998076923147
successful,8,4,8,1.8,0.586,0.4999999375000079
lying,7,4,6,1.6,-0.527,0.49999991666668053
complaint,5,7,4,0.75,-0.296,0.49999987500003124
vindicated,4,2,4,1.667,0.422,0.49999987500003124
important,5,7,4,0.75,0.202,0.49999987500003124
empty,3,2,2,1.333,-0.202,0.499999750000125
greeted,2,1,2,1.5,0.273,0.499999750000125
intelligent,1,2,2,0.667,0.459,0.499999750000125
regretful,2,3,2,0.75,-0.44,0.499999750000125
trust,23,31,18,0.75,0.511,0.4444444197530878
creative,10,16,14,0.647,0.44,0.42857139795918586
legal,1,4,7,0.4,0.128,0.4285713673469475
leave,164,118,111,1.387,-0.052,0.41441441068095125
punished,0,6,15,0.143,-0.459,0.39999997333333515
reward,6,10,10,0.636,0.572,0.39999996000000404
considerate,5,7,5,0.75,0.44,0.399999920000016
punish,0,2,5,0.333,-0.527,0.399999920000016
honest,25,44,48,0.578,0.511,0.39583332508680574
friend,29,44,38,0.667,0.494,0.39473683171745183
apologizes,87,63,64,1.375,0.361,0.3749999941406251
angry,155,220,175,0.706,-0.511,0.37142856930612245
ready,48,63,42,0.766,0.361,0.357142848639456
protect,26,20,17,1.286,0.382,0.35294115570934376
truth,36,50,40,0.725,0.318,0.34999999125000025
lose,32,24,23,1.32,-0.402,0.34782607183364905
trouble,48,65,49,0.742,-0.402,0.3469387684298211
ok,6,9,9,0.7,0.296,0.33333329629630043
impression,6,8,6,0.778,0.226,0.33333327777778704
deceive,2,0,6,3.0,-0.402,0.33333327777778704
frustrated,4,6,6,0.714,-0.527,0.33333327777778704
recommended,1,2,3,0.667,0.202,0.33333322222225925
incompetent,3,2,3,1.333,-0.477,0.33333322222225925
warning,2,3,3,0.75,-0.34,0.33333322222225925
laughing,1,2,3,0.667,0.494,0.33333322222225925
ignore,4,3,3,1.25,-0.361,0.33333322222225925
convince,4,7,10,0.625,0.25,0.299999970000003
nervous,23,18,17,1.263,-0.273,0.2941176297577865
sure,67,95,96,0.708,0.318,0.29166666362847227
murderer,6,10,14,0.636,-0.681,0.2857142653061239
happy,192,254,229,0.757,0.572,0.2707423568963216
party,14,18,15,0.789,0.402,0.2666666488888901
apologize,30,21,34,1.409,0.103,0.2647058745674743
wrong,37,49,46,0.76,-0.477,0.2608695595463139
protected,13,9,16,1.4,0.44,0.24999998437500096
trustworthy,12,9,12,1.3,0.557,0.2499999791666684
agree,1,2,4,0.667,0.361,0.24999993750001562
anxious,3,2,4,1.333,-0.25,0.24999993750001562
care,1,2,4,0.667,0.494,0.24999993750001562
unkind,6,7,4,0.875,-0.382,0.24999993750001562
apology,4,5,4,0.833,0.052,0.24999993750001562
admire,0,1,4,0.5,0.477,0.24999993750001562
greet,6,7,4,0.875,0.318,0.24999993750001562
rich,4,5,4,0.833,0.557,0.24999993750001562
greets,7,4,13,1.6,0.153,0.23076921301775286
fired,316,249,291,1.268,-0.557,0.23024054903697405
cut,175,140,157,1.248,-0.273,0.2229299348857966
injured,9,11,9,0.833,-0.402,0.22222219753086697
