word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,polarization
mistakes,1,6,0,0.286,-0.361,5000000.0
loses,0,4,1,0.2,-0.318,3.9999960000040002
authority,1,7,2,0.25,0.077,2.99999850000075
friends,0,5,2,0.167,0.477,2.499998750000625
perfect,4,26,10,0.185,0.572,2.199999780000022
bonus,1,6,3,0.286,0.542,1.6666661111112961
complain,0,5,4,0.167,-0.361,1.249999687500078
missing,1,9,7,0.2,-0.296,1.14285697959186
lost,1,9,8,0.2,-0.318,0.9999998750000157
compliments,0,12,15,0.077,0.402,0.7999999466666703
punished,0,6,15,0.143,-0.459,0.39999997333333515
