word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,polarization
superior,0,30,0,0.032,0.542,30000000.0
kill,3,30,0,0.129,-0.691,27000000.0
suspected,19,0,0,20.0,-0.226,19000000.0
murderer,19,2,0,6.667,-0.681,17000000.0
lucky,0,14,0,0.067,0.422,14000000.0
honored,13,0,0,14.0,0.586,13000000.0
boredom,4,16,0,0.294,-0.318,12000000.0
pray,19,7,0,2.5,0.318,12000000.0
solve,4,14,0,0.333,0.202,10000000.0
demanded,9,0,0,10.0,-0.226,9000000.0
suspects,8,0,0,9.0,-0.34,8000000.0
dishonest,8,0,0,9.0,-0.572,8000000.0
faith,2,10,0,0.273,0.422,8000000.0
admires,7,0,0,8.0,0.361,7000000.0
loyal,9,16,0,0.588,0.477,7000000.0
lack,6,0,0,7.0,-0.318,6000000.0
legal,6,0,0,7.0,0.128,6000000.0
refused,6,0,0,7.0,-0.296,6000000.0
dissatisfied,5,10,0,0.545,-0.382,5000000.0
enjoyed,5,0,0,6.0,0.511,5000000.0
guilt,1,5,0,0.333,-0.273,4000000.0
injury,11,7,0,1.5,-0.422,4000000.0
death,7,4,0,1.6,-0.599,3000000.0
admire,3,6,0,0.571,0.477,3000000.0
useful,9,6,0,1.429,0.44,3000000.0
brave,1,4,0,0.4,0.527,3000000.0
sins,1,4,0,0.4,-0.459,3000000.0
revenge,1,4,0,0.4,-0.527,3000000.0
fool,4,6,0,0.714,-0.44,2000000.0
hates,5,3,0,1.5,-0.44,2000000.0
fake,4,2,0,1.667,-0.477,2000000.0
perfect,2,3,0,0.75,0.572,1000000.0
poisoning,3,2,0,1.333,-0.586,1000000.0
confident,3,2,0,1.333,0.494,1000000.0
penalty,3,2,0,1.333,-0.459,1000000.0
ready,3,2,0,1.333,0.361,1000000.0
shake,3,2,0,1.333,-0.178,1000000.0
loyalty,19,41,1,0.476,0.542,21.999978000022
drunk,9,23,1,0.417,-0.34,13.999986000014001
welcome,34,8,2,3.889,0.459,12.99999350000325
gain,15,33,2,0.471,0.527,8.99999550000225
illegal,6,14,1,0.467,-0.557,7.9999920000080005
loved,9,2,1,3.333,0.599,6.9999930000070005
praise,2,9,1,0.3,0.557,6.9999930000070005
important,40,51,2,0.788,0.202,5.499997250001375
heroic,1,12,2,0.154,0.557,5.499997250001375
satisfied,181,314,25,0.578,0.422,5.319999787200008
beautiful,5,1,1,3.0,0.599,3.9999960000040002
suspect,4,0,1,5.0,-0.296,3.9999960000040002
laughed,22,29,2,0.767,0.459,3.499998250000875
rejected,20,10,3,1.909,-0.511,3.3333322222225923
cuts,4,1,1,2.5,-0.296,2.9999970000030003
punishment,6,9,1,0.7,-0.494,2.9999970000030003
lonely,1,4,1,0.4,-0.361,2.9999970000030003
jealous,8,5,1,1.5,-0.459,2.9999970000030003
gains,2,5,1,0.5,0.34,2.9999970000030003
sore,8,11,1,0.75,-0.361,2.9999970000030003
number,25,66,15,0.388,0.077,2.733333151111123
careful,5,0,2,6.0,0.153,2.499998750000625
succeed,0,5,2,0.167,0.494,2.499998750000625
nice,27,59,15,0.467,0.422,2.1333331911111206
love,5,3,1,1.5,0.637,1.9999980000020001
surprise,5,3,1,1.5,0.273,1.9999980000020001
mad,11,4,4,2.4,-0.494,1.7499995625001092
gun,4,1,2,2.5,-0.34,1.499999250000375
respected,0,3,2,0.25,0.477,1.499999250000375
bad,96,114,13,0.843,-0.542,1.384615278106517
rejection,10,14,3,0.733,-0.542,1.333332888889037
authority,14,50,28,0.294,0.077,1.28571423979592
tired,69,33,29,2.059,-0.44,1.241379267538646
rich,6,12,5,0.538,0.557,1.199999760000048
dirty,20,33,12,0.618,-0.44,1.083333243055563
angry,56,32,23,1.727,-0.511,1.0434782155009472
trust,13,5,8,2.333,0.511,0.9999998750000157
fine,5,2,3,2.0,0.202,0.9999996666667778
leak,3,1,2,2.0,-0.34,0.99999950000025
mess,4,2,2,1.667,-0.361,0.99999950000025
intelligent,2,3,1,0.75,0.459,0.9999990000010001
lose,121,163,45,0.744,-0.402,0.9333333125925931
trouble,15,22,8,0.696,-0.402,0.8749998906250137
arrested,87,108,27,0.807,-0.477,0.7777777489711944
smile,25,19,8,1.3,0.361,0.7499999062500118
demand,3,6,4,0.571,-0.128,0.7499998125000469
stop,14,45,42,0.326,-0.296,0.7380952205215424
frustrated,3,1,3,2.0,-0.527,0.6666664444445185
sneaky,4,6,3,0.714,-0.226,0.6666664444445185
convincing,1,3,3,0.5,0.402,0.6666664444445185
selfish,1,3,3,0.5,-0.477,0.6666664444445185
