word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,polarization
suspected,19,0,0,20.0,-0.226,19000000.0
murderer,19,2,0,6.667,-0.681,17000000.0
honored,13,0,0,14.0,0.586,13000000.0
demanded,9,0,0,10.0,-0.226,9000000.0
dishonest,8,0,0,9.0,-0.572,8000000.0
suspects,8,0,0,9.0,-0.34,8000000.0
admires,7,0,0,8.0,0.361,7000000.0
lack,6,0,0,7.0,-0.318,6000000.0
legal,6,0,0,7.0,0.128,6000000.0
refused,6,0,0,7.0,-0.296,6000000.0
enjoyed,5,0,0,6.0,0.511,5000000.0
welcome,34,8,2,3.889,0.459,12.99999350000325
loved,9,2,1,3.333,0.599,6.9999930000070005
suspect,4,0,1,5.0,-0.296,3.9999960000040002
careful,5,0,2,6.0,0.153,2.499998750000625
save,12,2,32,4.333,0.494,0.3124999902343753
free,17,4,49,3.6,0.511,0.2653061170345691
