word,female_count,male_count,PersonX_count,f_m_ratio,sentiment,polarization
superior,0,30,0,0.032,0.542,30000000.0
kill,3,30,0,0.129,-0.691,27000000.0
lucky,0,14,0,0.067,0.422,14000000.0
boredom,4,16,0,0.294,-0.318,12000000.0
faith,2,10,0,0.273,0.422,8000000.0
praise,2,9,1,0.3,0.557,6.9999930000070005
heroic,1,12,2,0.154,0.557,5.499997250001375
succeed,0,5,2,0.167,0.494,2.499998750000625
respected,0,3,2,0.25,0.477,1.499999250000375
authority,14,50,28,0.294,0.077,1.28571423979592
stop,14,45,42,0.326,-0.296,0.7380952205215424
friend,0,3,5,0.25,0.494,0.599999880000024
ok,6,22,36,0.304,0.296,0.44444443209876583
successful,10,42,134,0.256,0.586,0.23880596836711965
