word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,polarization
superior,0,30,0,0.032,0.542,30000000.0
lucky,0,14,0,0.067,0.422,14000000.0
honored,13,0,0,14.0,0.586,13000000.0
boredom,4,16,0,0.294,-0.318,12000000.0
suspects,8,0,0,9.0,-0.34,8000000.0
lack,6,0,0,7.0,-0.318,6000000.0
succeed,0,5,0,0.167,0.494,5000000.0
admire,3,6,0,0.571,0.477,3000000.0
sins,1,4,0,0.4,-0.459,3000000.0
lonely,1,4,0,0.4,-0.361,3000000.0
ready,3,2,0,1.333,0.361,1000000.0
lost,5,4,0,1.2,-0.318,1000000.0
loved,9,2,1,3.333,0.599,6.9999930000070005
heroic,1,12,2,0.154,0.557,5.499997250001375
kill,3,30,5,0.129,-0.691,5.399998920000216
rejected,20,10,2,1.909,-0.511,4.99999750000125
guilt,1,5,1,0.333,-0.273,3.9999960000040002
laughed,22,29,2,0.767,0.459,3.499998250000875
gun,4,1,1,2.5,-0.34,2.9999970000030003
faith,2,10,3,0.273,0.422,2.666665777778074
demanded,9,0,4,10.0,-0.226,2.2499994375001404
successful,10,42,16,0.256,0.586,1.9999998750000076
legal,6,0,3,7.0,0.128,1.9999993333335555
created,4,0,2,5.0,0.25,1.9999990000005
mess,4,2,1,1.667,-0.361,1.9999980000020001
convincing,1,3,1,0.5,0.402,1.9999980000020001
frustrated,3,1,1,2.0,-0.527,1.9999980000020001
invite,1,3,1,0.5,0.153,1.9999980000020001
leak,3,1,1,2.0,-0.34,1.9999980000020001
authority,14,50,19,0.294,0.077,1.8947367423822765
welcome,34,8,15,3.889,0.459,1.7333332177777856
solve,4,14,6,0.333,0.202,1.666666388888935
save,12,2,6,4.333,0.494,1.666666388888935
dissatisfied,5,10,3,0.545,-0.382,1.6666661111112961
refused,6,0,4,7.0,-0.296,1.4999996250000938
respected,0,3,2,0.25,0.477,1.499999250000375
brave,1,4,2,0.4,0.527,1.499999250000375
stops,5,2,2,2.0,-0.153,1.499999250000375
number,25,66,29,0.388,0.077,1.4137930546967912
free,17,4,11,3.6,0.511,1.1818180743801752
admires,7,0,6,8.0,0.361,1.1666664722222546
ok,6,22,14,0.304,0.296,1.1428570612244957
pray,19,7,11,2.5,0.318,1.0909089917355463
suspected,19,0,18,20.0,-0.226,1.0555554969135834
sure,14,37,22,0.395,0.318,1.0454544979338865
complain,22,9,13,2.3,-0.361,0.9999999230769291
dishonest,8,0,8,9.0,-0.572,0.9999998750000157
praise,2,9,7,0.3,0.557,0.9999998571428775
rich,6,12,6,0.538,0.557,0.9999998333333611
enjoyed,5,0,5,6.0,0.511,0.99999980000004
shy,2,6,4,0.429,-0.25,0.9999997500000625
protected,5,2,3,2.0,0.44,0.9999996666667778
revenge,1,4,3,0.4,-0.527,0.9999996666667778
useful,9,6,3,1.429,0.44,0.9999996666667778
selfish,1,3,2,0.5,-0.477,0.99999950000025
problems,3,1,2,2.0,-0.402,0.99999950000025
lazy,3,2,1,1.333,-0.361,0.9999990000010001
murderer,19,2,18,6.667,-0.681,0.9444443919753115
mad,11,4,8,2.4,-0.494,0.8749998906250137
loyalty,19,41,26,0.476,0.542,0.8461538136094686
careful,5,0,6,6.0,0.153,0.8333331944444675
healthy,13,26,16,0.519,0.402,0.8124999492187531
straight,0,4,5,0.2,0.226,0.799999840000032
nice,27,59,42,0.467,0.422,0.7619047437641728
fine,5,2,4,2.0,0.202,0.7499998125000469
creative,9,6,4,1.429,0.44,0.7499998125000469
illegal,6,14,11,0.467,-0.557,0.7272726611570308
satisfied,181,314,185,0.578,0.422,0.7189189150328708
cry,11,5,9,2.0,-0.477,0.6666665925926009
rude,19,13,9,1.429,-0.459,0.6666665925926009
friends,8,4,6,1.8,0.477,0.6666665555555741
hard,7,11,6,0.667,-0.103,0.6666665555555741
trustworthy,7,3,6,2.0,0.557,0.6666665555555741
forced,2,0,3,3.0,-0.459,0.6666664444445185
liked,2,0,3,3.0,0.422,0.6666664444445185
impression,2,0,3,3.0,0.226,0.6666664444445185
sneaky,4,6,3,0.714,-0.226,0.6666664444445185
hated,2,0,3,3.0,-0.637,0.6666664444445185
interrogated,2,0,3,3.0,-0.382,0.6666664444445185
celebrated,2,0,3,3.0,0.572,0.6666664444445185
criminal,2,0,3,3.0,-0.527,0.6666664444445185
irrational,0,2,3,0.333,-0.34,0.6666664444445185
lawsuit,2,0,3,3.0,-0.226,0.6666664444445185
cheat,3,1,3,2.0,-0.459,0.6666664444445185
lower,1,3,3,0.5,-0.296,0.6666664444445185
surprise,5,3,3,1.5,0.273,0.6666664444445185
fool,4,6,3,0.714,-0.44,0.6666664444445185
proud,9,7,3,1.25,0.477,0.6666664444445185
fake,4,2,3,1.667,-0.477,0.6666664444445185
