word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,polarization
honored,13,0,0,14.0,0.586,13000000.0
suspects,8,0,0,9.0,-0.34,8000000.0
lack,6,0,0,7.0,-0.318,6000000.0
loved,9,2,1,3.333,0.599,6.9999930000070005
demanded,9,0,4,10.0,-0.226,2.2499994375001404
legal,6,0,3,7.0,0.128,1.9999993333335555
created,4,0,2,5.0,0.25,1.9999990000005
welcome,34,8,15,3.889,0.459,1.7333332177777856
save,12,2,6,4.333,0.494,1.666666388888935
refused,6,0,4,7.0,-0.296,1.4999996250000938
free,17,4,11,3.6,0.511,1.1818180743801752
admires,7,0,6,8.0,0.361,1.1666664722222546
suspected,19,0,18,20.0,-0.226,1.0555554969135834
dishonest,8,0,8,9.0,-0.572,0.9999998750000157
enjoyed,5,0,5,6.0,0.511,0.99999980000004
murderer,19,2,18,6.667,-0.681,0.9444443919753115
careful,5,0,6,6.0,0.153,0.8333331944444675
accepted,3,0,9,4.0,0.273,0.33333329629630043
