word,female_count,male_count,Unisex_count,f_m_ratio,sentiment,polarization
superior,0,30,0,0.032,0.542,30000000.0
lucky,0,14,0,0.067,0.422,14000000.0
boredom,4,16,0,0.294,-0.318,12000000.0
succeed,0,5,0,0.167,0.494,5000000.0
heroic,1,12,2,0.154,0.557,5.499997250001375
kill,3,30,5,0.129,-0.691,5.399998920000216
faith,2,10,3,0.273,0.422,2.666665777778074
successful,10,42,16,0.256,0.586,1.9999998750000076
authority,14,50,19,0.294,0.077,1.8947367423822765
respected,0,3,2,0.25,0.477,1.499999250000375
ok,6,22,14,0.304,0.296,1.1428570612244957
praise,2,9,7,0.3,0.557,0.9999998571428775
straight,0,4,5,0.2,0.226,0.799999840000032
stop,14,45,51,0.326,-0.296,0.6078431253364094
friend,0,3,16,0.25,0.494,0.18749998828125072
